	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
changed	O	O
face	O	O
head	O	O
neck	O	O
cancer	O	O
past	O	O
2	O	O
decades	O	O
.	O	O
		
No	O	O
longer	O	O
solely	O	O
disease	O	O
older	O	O
patients	O	O
history	O	O
heavy	O	O
tobacco	O	O
alcohol	O	O
use	O	O
.	O	O
		
Patients	O	O
HPV-related	B-virus	B-virus
head	O	O
neck	O	O
cancers	O	O
tend	O	O
younger	O	O
,	O	O
healthier	O	O
,	O	O
improved	O	O
prognosis	O	O
,	O	O
compared	O	O
HPV-negative	B-virus	B-virus
tumors	O	O
.	O	O
		
As	O	O
patients	O	O
diagnosed	O	O
HPV-related	B-virus	B-virus
head	O	O
neck	O	O
cancer	O	O
,	O	O
physicians	O	O
important	O	O
topics	O	O
consider	O	O
.	O	O
	O	O
These	O	O
include	O	O
prevalence	O	O
,	O	O
transmission	O	O
,	O	O
natural	O	O
history	O	O
HPV	B-virus	B-virus
,	O	O
role	O	O
screening	O	O
,	O	O
vaccines	O	O
,	O	O
HPV	B-virus	B-virus
testing	O	O
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
This	O	O
article	O	O
continues	O	O
series	O	
developed	O	O
American	O	O
Head	O	O
Neck	O	O
Society	O	O
's	O	O
Education	O	O
Committee	O	O
entitled	O	O
``	O	O
Do	O	O
know	O	O
guidelines	O	O
?	O	O
''	O	O
		
intended	O	O
provide	O	O
guidance	O	O
navigating	O	O
common	O	O
questions	O	O
concerns	O	O
patients	O	O
may	O	O
HPV	B-virus	B-virus
infection	O	O
HPV-related	B-virus	B-virus
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
©	O	O
2017	O	O
Wiley	O	O
Periodicals	O	O
,	O	O
Inc.	O	O
Head	O	O
Neck	O	O
39	O	O
:	O	O
833-839	O	O
,	O	O
2017	O	O
.	O	O
