	BIEO	IOB2
The	O	O
overall	O	O
mutational	O	O
burden	O	O
HPV-negative	B-virus	B-virus
HPV-positive	B-virus	B-virus
HNSCC	O	O
similar	O	O
average	O	O
15.2	O	O
versus	O	O
14.4	O	O
somatic	O	O
exonic	O	O
mutations	O	O
targeted	O	O
cancer-associated	O	O
genes	O	O
.	O	O
		
HPV-negative	B-virus	B-virus
tumors	O	O
showed	O	O
mutational	O	O
spectrum	O	O
concordant	O	O
published	O	O
lung	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
analyses	O	O
enrichment	O	O
mutations	O	O
TP53	O	O
,	O	O
CDKN2A	O	O
,	O	O
MLL2	O	O
,	O	O
CUL3	O	O
,	O	O
NSD1	O	O
,	O	O
PIK3CA	O	O
,	O	O
NOTCH	O	O
genes	O	O
.	O	O
		
HPV-positive	B-virus	B-virus
tumors	O	O
showed	O	O
unique	O	O
mutations	O	O
DDX3X	O	O
,	O	O
FGFR2/3	O	O
aberrations	O	O
PIK3CA	O	O
,	O	O
KRAS	O	O
,	O	O
MLL2/3	O	O
,	O	O
NOTCH1	O	O
enriched	O	O
HPV-positive	B-virus	B-virus
tumors	O	O
.	O	O
		
Currently	O	O
targetable	O	O
genomic	O	O
alterations	O	O
identified	O	O
FGFR1	O	O
,	O	O
DDR2	O	O
,	O	O
EGFR	O	O
,	O	O
FGFR2/3	O	O
,	O	O
EPHA2	O	O
,	O	O
PIK3CA	O	O
.	O	O
		
EGFR	O	O
,	O	O
CCND1	O	O
,	O	O
FGFR1	O	O
amplifications	O	O
occurred	O	O
HPV-negative	B-virus	B-virus
tumors	O	O
,	O	O
whereas	O	O
17.6	O	O
%	O	O
HPV-positive	B-virus	B-virus
tumors	O	O
harbored	O	O
mutations	O	O
fibroblast	O	O
growth	O	O
factor	O	O
receptor	O	O
genes	O	O
(	O	O
FGFR2/3	O	O
)	O	O
,	O	O
including	O	O
six	O	O
recurrent	O	O
FGFR3	O	O
S249C	O	O
mutations	O	O
.	O	O
		
HPV-positive	B-virus	B-virus
tumors	O	O
showed	O	O
5.8	O	O
%	O	O
incidence	O	O
KRAS	O	O
mutations	O	O
,	O	O
DNA-repair	O	O
gene	O	O
aberrations	O	O
,	O	O
including	O	O
7.8	O	O
%	O	O
BRCA1/2	O	O
mutations	O	O
,	O	O
identified	O	O
.	O	O
