	BIEO	IOB2
A	O	O
total	O	O
226	O	O
HNC	O	O
patients	O	O
enrolled	O	O
present	O	O
study	O	O
.	O	O
		
Sixty-seven	O	O
(	O	O
29.7	O	O
%	O	O
)	O	O
HNC	O	O
cases	O	O
found	O	O
HPV	B-virus	B-virus
DNA	O	O
positive	O	O
.	O	O
		
Thirty-two	O	O
(	O	O
14	O	O
%	O	O
)	O	O
cases	O	O
HPV-16	B-virus	B-virus
DNA	O	O
positive	O	O
20	O	O
(	O	O
9	O	O
%	O	O
)	O	O
cases	O	O
expressed	O	O
HPV-16	B-virus	B-virus
E7	O	O
mRNA	O	O
.	O	O
		
HPV-16	B-virus	B-virus
mRNA/p16	O	O
positive	O	O
cases	O	O
significantly	O	O
increased	O	O
viral	O	O
load	O	O
integrated	O	O
HPV-16	B-virus	B-virus
DNA	O	O
.	O	O
		
In	O	O
summary	O	O
,	O	O
total	O	O
HNC	O	O
patients	O	O
,	O	O
6	O	O
%	O	O
cases	O	O
positive	O	O
HPV-16	B-virus	B-virus
DNA	O	O
p16	O	O
,	O	O
5	O	O
%	O	O
positive	O	O
E7	O	O
mRNA	O	O
p16	O	O
IHC	O	O
.	O	O
		
We	O	O
observed	O	O
similar	O	O
HPV-16	B-virus	B-virus
DNA/E7mRNA	O	O
prevalence	O	O
oropharynx	O	O
oral	O	O
cavity	O	O
sites	O	O
,	O	O
however	O	O
,	O	O
oropharynx	O	O
SCC	O	O
significantly	O	O
higher	O	O
viral	O	O
load	O	O
.	O	O
