	BIEO	IOB2
We	O	O
utilized	O	O
guidelines	O	O
identify	O	O
health	O	O
issues	O	O
would	O	O
indicate	O	O
value	O	O
evaluation	O	O
prior	O	O
safely	O	O
prescribed	O	O
unsupervised	O	O
exercise	O	O
.	O	O
		
We	O	O
performed	O	O
retrospective	O	O
chart	O	O
review	O	O
150	O	O
patients	O	O
HPV-related	B-virus	B-virus
HNC	O	O
assess	O	O
health	O	O
issues	O	O
6	O	O
months	O	O
completing	O	O
definitive	O	O
therapy	O	O
.	O	O
		
Patients	O	O
least	O	O
one	O	O
health	O	O
issue	O	O
deemed	O	O
appropriate	O	O
receive	O	O
evaluation	O	O
prior	O	O
prescription	O	O
unsupervised	O	O
exercise	O	O
.	O	O
		
We	O	O
utilized	O	O
logistic	O	O
regression	O	O
identify	O	O
clinical	O	O
demographic	O	O
factors	O	O
associated	O	O
need	O	O
evaluation	O	O
,	O	O
likely	O	O
performed	O	O
outpatient	O	O
rehabilitation	O	O
clinicians	O	O
.	O	O
