	BIEO	IOB2
HPV	B-virus	B-virus
identified	O	O
7	O	O
(	O	O
6.3	O	O
%	O	O
)	O	O
tumours	O	O
,	O	O
22	O	O
(	O	O
19.6	O	O
%	O	O
)	O	O
positive	O	O
p16	O	O
immunohistochemical	O	O
staining	O	O
.	O	O
	O	O
There	O	O
concordance	O	O
results	O	O
obtained	O	O
using	O	O
three	O	O
PCR	O	O
assays	O	O
.	O	O
		
There	O	O
substantial	O	O
agreement	O	O
results	O	O
molecular	O	O
tests	O	O
p16	O	O
immunohistochemistry	O	O
hypopharyngeal	O	O
carcinomas	O	O
,	O	O
fair	O	O
agreement	O	O
laryngeal	O	O
oropharyngeal	O	O
carcinomas	O	O
.	O	O
