	BIEO	IOB2
Oncogenic		O
viral	O	O
infections	O	O
detected	O	O
12	O	O
cases	O	O
(	O	O
54	O	O
%	O	O
total	O	O
;	O	O
2	O	O
HPV18	B-virus	B-virus
,	O	O
5	O	O
HPV16	B-virus	B-virus
,	O	O
2	O	O
EBV	B-virus	B-virus
infection	O	O
,	O	O
3	O	O
EBV/HPV16	B-virus	B-virus
coinfections	O	O
)	O	O
.	O	O
		
The	O	O
frequent	O	O
primarily	O	O
involved	O	O
neck	O	O
level	O	O
series	O	O
IIA	O	O
(	O	O
70	O	O
%	O	O
)	O	O
,	O	O
highest	O	O
prevalence	O	O
viral	O	O
infection	O	O
(	O	O
66	O	O
%	O	O
)	O	O
.	O	O
		
We	O	O
find	O	O
significant	O	O
correlations	O	O
virus	B-virus	B-virus
detection	O	O
clinicopathologic	O	O
parameters	O	O
prognosis	O	O
.	O	O
