	BIEO	IOB2
Head	O	O
neck	O	O
carcinoma	O	O
(	O	O
HNC	O	O
)	O	O
occupy	O	O
sixth	O	O
place	O	O
frequent	O	O
type	O	O
cancer	O	O
worldwide	O	O
.	O	O
		
Next	O	O
alcohol	O	O
tobacco	O	O
intoxication	O	O
,	O	O
risk	O	O
factors	O	O
(	O	O
RF	O	O
)	O	O
suspected	O	O
,	O	O
including	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
viruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
highlight	O	O
prevalence	O	O
HPVs	B-virus	B-virus
histo-epidemiological	O	O
characteristics	O	O
HNC	O	O
HPV+	B-virus	B-virus
Senegal	O	O
.	O	O
		
This	O	O
prospective	O	O
,	O	O
multicenter	O	O
preliminary	O	O
study	O	O
18	O	O
months	O	O
(	O	O
January	O	O
1	O	O
,	O	O
2012-June	O	O
30	O	O
,	O	O
2014	O	O
)	O	O
.	O	O
		
The	O	O
cases	O	O
HNC	O	O
histologically	O	O
confirmed	O	O
Senegal	O	O
sent	O	O
bio-pathology	O	O
department	O	O
Curie	O	O
Institute	O	O
Paris	O	O
search	O	O
HPVs	B-virus	B-virus
.	O	O
		
In	O	O
90	O	O
included	O	O
cases	O	O
,	O	O
PCR	O	O
technique	O	O
successful	O	O
54	O	O
cases	O	O
(	O	O
60	O	O
%	O	O
)	O	O
.	O	O
		
HPVs	B-virus	B-virus
found	O	O
seven	O	O
cases	O	O
,	O	O
,	O	O
prevalence	O	O
13	O	O
%	O	O
.	O	O
		
HPVs	B-virus	B-virus
associated	O	O
5	O	O
cases	O	O
hypopharyngeal	O	O
carcinoma	O	O
2	O	O
cases	O	O
carcinoma	O	O
oral	O	O
cavity	O	O
.	O	O
		
Patients	O	O
HNC	O	O
HPV+	B-virus	B-virus
median	O	O
age	O	O
42	O	O
years	O	O
49	O	O
years	O	O
HPV-patients	B-virus	B-virus
.	O	O
		
Three	O	O
patients	O	O
(	O	O
42.8	O	O
%	O	O
)	O	O
HPV+	B-virus	B-virus
carcinomas	O	O
smokers	O	O
.	O	O
		
Of	O	O
47	O	O
HPV-patients	B-virus	B-virus
,	O	O
40	O	O
patients	O	O
(	O	O
87.1	O	O
%	O	O
)	O	O
alcohol	O	O
intoxication	O	O
and/or	O	O
smoking	O	O
.	O	O
		
The	O	O
concept	O	O
oral	O	O
sex	O	O
refuted	O	O
patients	O	O
.	O	O
		
Squamous	O	O
cell	O	O
carcinoma	O	O
histological	O	O
type	O	O
found	O	O
.	O	O
		
HPV+	B-virus	B-virus
cell	O	O
carcinoma	O	O
showed	O	O
specific	O	O
histological	O	O
appearance	O	O
.	O	O
		
HPVs	B-virus	B-virus
another	O	O
certain	O	O
RF	O	O
HNC	O	O
Senegal	O	O
.	O	O
		
The	O	O
major	O	O
therapeutic	O	O
prognostic	O	O
impact	O	O
HPVinduced	O	O
cancers	O	O
requires	O	O
systematic	O	O
search	O	O
viruses	B-virus	B-virus
PCR	O	O
technique	O	O
.	O	O
