	BIEO	IOB2
We	O	O
developed	O	O
custom-made	O	O
reference	O	O
genome	O	O
comprises	O	O
human	O	O
chromosomes	O	O
along	O	O
annotated	O	O
genome	O	O
143	O	O
HPV	B-virus	B-virus
types	O	O
pseudochromosomes	O	O
.	O	O
		
The	O	O
tool	O	O
runs	O	O
dual	O	O
mode	O	O
defined	O	O
user	O	O
:	O	O
'quick	O	O
mode	O	O
'	O	O
identify	O	O
presence	O	O
HPV	B-virus	B-virus
types	O	O
'integration	O	O
mode	O	O
'	O	O
determine	O	O
genomic	O	O
location	O	O
site	O	O
integration	O	O
.	O	O
		
The	O	O
input	O	O
data	O	O
paired-end	O	O
whole-exome	O	O
,	O	O
whole-genome	O	O
whole-transcriptome	O	O
data	O	O
set	O	O
.	O	O
		
The	O	O
HPVDetector	B-virus	B-virus
available	O	O
public	O	O
domain	O	O
download	O	O
:	O	O
http	O	O
:	O	O
//www.actrec.gov.in/pi-webpages/AmitDutt/HPVdetector/HPVDetector.html	O	O
.		
