	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
causally	O	O
associated	O	O
benign	O	O
malignant	O	O
diseases	O	O
upper	O	O
airway	O	O
,	O	O
including	O	O
respiratory	O	O
papillomatosis	O	O
oropharyngeal	O	O
cancer	O	O
.	O	O
		
Low-risk	B-virus	B-virus
HPV	E-virus	I-virus
types	O	O
6	O	O
11	O	O
predominant	O	O
cause	O	O
papillomatosis	O	O
,	O	O
whereas	O	O
HPV16	B-virus	B-virus
definitively	O	O
satisfies	O	O
molecular	O	O
epidemiological	O	O
causal	O	O
criteria	O	O
carcinogenic	O	O
high-risk	O	O
type	O	O
upper	O	O
airway	O	O
.	O	O
		
HPV16	B-virus	B-virus
E6/E7	O	O
mRNA	O	O
expression	O	O
integration	O	O
observed	O	O
predominantly	O	O
among	O	O
oropharyngeal	O	O
cancers	O	O
,	O	O
experimental	O	O
models	O	O
shown	O	O
E6/E7	O	O
expression	O	O
necessary	O	O
initiation	O	O
maintenance	O	O
malignant	O	O
phenotype	O	O
cancers	O	O
.	O	O
		
From	O	O
epidemiological	O	O
perspective	O	O
,	O	O
strong	O	O
consistent	O	O
association	O	O
markers	O	O
HPV16	B-virus	B-virus
exposure	O	O
oropharyngeal	O	O
cancer	O	O
demonstrated	O	O
numerous	O	O
case-control	O	O
studies	O	O
.	O	O
		
HPV-positive	B-virus	B-virus
oropharyngeal	O	O
cancers	O	O
also	O	O
shown	O	O
distinct	O	O
HPV-negative	B-virus	B-virus
head	O	O
neck	O	O
squamous	O	O
cell	O	O
cancers	O	O
regard	O	O
risk-factor	O	O
profiles	O	O
,	O	O
molecular	O	O
genetic	O	O
alterations	O	O
,	O	O
population-level	O	O
incidence	O	O
trends	O	O
time	O	O
,	O	O
prognosis	O	O
.	O	O
		
Tumor	O	O
HPV	B-virus	B-virus
status	O	O
(	O	O
determined	O	O
certain	O	O
HPV16	B-virus	B-virus
situ	O	O
hybridization	O	O
assays	O	O
certain	O	O
p16	O	O
immunohistochemistry	O	O
assays	O	O
)	O	O
strongest	O	O
determinant	O	O
survival	O	O
patients	O	O
local-regionally	O	O
advanced	O	O
oropharyngeal	O	O
cancer	O	O
:	O	O
patients	O	O
HPV-positive	B-virus	B-virus
cancer	O	O
least	O	O
50	O	O
%	O	O
improvement	O	O
overall	O	O
survival	O	O
5	O	O
years	O	O
,	O	O
equivalent	O	O
approximate	O	O
30	O	O
%	O	O
difference	O	O
absolute	O	O
survival	O	O
.	O	O
		
Thus	O	O
,	O	O
HPV	B-virus	B-virus
status	O	O
determination	O	O
part	O	O
routine	O	O
diagnostic	O	O
evaluation	O	O
prognostication	O	O
.	O	O
		
Preliminary	O	O
evidence	O	O
indicates	O	O
small	O	O
proportion	O	O
head	O	O
neck	O	O
cancers	O	O
may	O	O
caused	O	O
additional	O	O
HPV	B-virus	B-virus
types	O	O
(	O	O
e.g.	O	O
,	O	O
18	E-virus	I-virus
,	O	O
31	E-virus	I-virus
,	O	O
33	E-virus	I-virus
,	O	O
35	E-virus	I-virus
)	O	O
HPV-caused	B-virus	B-virus
cancers	O	O
may	O	O
rarely	O	O
arise	O	O
non-oropharyngeal	O	O
sites	O	O
(	O	O
e.g.	O	O
,	O	O
oral	O	O
cavity	O	O
,	O	O
nasopharynx	O	O
,	O	O
larynx	O	O
)	O	O
.	O	O
		
Whether	O	O
HPV	B-virus	B-virus
vaccination	O	O
potential	O	O
prevent	O	O
oral	O	O
HPV	B-virus	B-virus
infections	O	O
lead	O	O
cancer	O	O
papillomatosis	O	O
upper	O	O
airway	O	O
currently	O	O
unknown	O	O
,	O	O
potential	O	O
secondary	O	O
prevention	O	O
HPV	B-virus	B-virus
detection	O	O
.	O	O
		
This	O	O
article	O	O
forms	O	O
part	O	O
special	O	O
supplement	O	O
entitled	O	O
``	O	O
Comprehensive	O	O
Control	O	O
HPV	B-virus	B-virus
Infections	O	O
Related	O	O
Diseases	O	O
''	O	O
Vaccine	O	O
Volume	O	O
30	O	O
,	O	O
Supplement	O	O
5	O	O
,	O	O
2012	O	O
.	O	O
