	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
oropharyngeal	O	O
carcinoma	O	O
recognized	O	O
clinically	O	O
distinct	O	O
subtype	O	O
head	O	O
neck	O	O
cancer	O	O
important	O	O
prognostic	O	O
implications	O	O
.	O	O
		
HPV	B-virus	B-virus
testing	O	O
recommended	O	O
standard	O	O
care	O	O
patients	O	O
diagnosed	O	O
oropharyngeal	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
.	O	O
		
Here	O	O
,	O	O
describe	O	O
practical	O	O
approach	O	O
HPV	B-virus	B-virus
testing	O	O
within	O	O
setting	O	O
diagnostic	O	O
histopathology	O	O
laboratory	O	O
.	O	O
