	BIEO	IOB2
At	O	O
cut	O	O
point	O	O
>	O	O
0	O	O
,	O	O
group	O	O
overall	O	O
HPV	B-virus	B-virus
prevalence	O	O
5	O	O
%	O	O
,	O	O
higher	O	O
prevalence	O	O
30.8	O	O
%	O	O
HNC	O	O
patient	O	O
group	O	O
.	O	O
		
At	O	O
cut	O	O
point	O	O
>	O	O
0.001	O	O
,	O	O
prevalence	O	O
lower	O	O
:	O	O
0	O	O
%	O	O
control	O	O
,	O	O
1.2	O	O
%	O	O
screening	O	O
,	O	O
16.7	O	O
%	O	O
HNC	O	O
group	O	O
.	O	O
		
In	O	O
latter	O	O
,	O	O
cut	O	O
points	O	O
,	O	O
HPV	B-virus	B-virus
prevalence	O	O
different	O	O
across	O	O
sites	O	O
(	O	O
<	O	O
0.001	O	O
)	O	O
significantly	O	O
higher	O	O
oropharynx	O	O
larynx	O	O
site	O	O
Hochberg	O	O
's	O	O
adjustment	O	O
.	O	O
		
At	O	O
>	O	O
0	O	O
,	O	O
women	O	O
screening	O	O
group	O	O
higher	O	O
prevalence	O	O
HPV	B-virus	B-virus
men	O	O
(	O	O
P	O	O
=	O	O
0.01	O	O
)	O	O
,	O	O
>	O	O
0.001	O	O
,	O	O
prevalence	O	O
higher	O	O
men	O	O
HNC	O	O
group	O	O
women	O	O
(	O	O
P	O	O
=	O	O
0.035	O	O
)	O	O
.	O	O
		
In	O	O
screening	O	O
group	O	O
,	O	O
>	O	O
0	O	O
,	O	O
African	O	O
Americans	O	O
higher	O	O
prevalence	O	O
Caucasian	O	O
Americans	O	O
(	O	O
P	O	O
=	O	O
0.025	O	O
)	O	O
.	O	O
