	BIEO	IOB2
The	O	O
influenza	B-virus	B-virus
A	I-virus	I-virus
virus	E-virus	I-virus
components	O	O
live	O	O
,	O	O
attenuated	O	O
influenza	O	O
vaccine	O	O
(	O	O
LAIV	O	O
)	O	O
encode	O	O
HA	O	O
NA	O	O
gene	O	O
segments	O	O
circulating	O	O
virus	B-virus	B-virus
strain	O	O
remaining	O	O
gene	O	O
segments	O	O
cold-adapted	O	O
master	O	O
donor	B-virus	B-virus
virus	E-virus	I-virus
,		
A/Ann	B-virus	B-virus
Arbor/6/1960	E-virus	I-virus
(	O	O
H2N2	B-virus	B-virus
)	O	O
.	O	O
		
The	O	O
master	O	O
donor	B-virus	B-virus
virus	E-virus	I-virus
imparts	O	O
least	O	O
three	O	O
phenotypes	O	O
:	O	O
temperature-sensitivity	O	O
(	O	O
ts	O	O
)	O	O
,	O	O
attenuation	O	O
(	O	O
att	O	O
)	O	O
,	O	O
cold-adaption	O	O
(	O	O
ca	O	O
)	O	O
.	O	O
		
The	O	O
genetic	O	O
loci	O	O
responsible	O	O
att	O	O
ts	O	O
phenotypes	O	O
LAIV	O	O
mapped	O	O
PB1	O	O
,	O	O
PB2	O	O
,	O	O
NP	O	O
reverse	O	O
genetics	O	O
experiments	O	O
using	O	O
immortalized	O	O
cell	O	O
lines	O	O
.	O	O
		
However	O	O
,	O	O
vivo	O	O
studies	O	O
demonstrated	O	O
M	O	O
segment	O	O
,	O	O
acquired	O	O
alanine	O	O
(	O	O
Ala	O	O
)	O	O
serine	O	O
(	O	O
Ser	O	O
)	O	O
mutation	O	O
M2	O	O
position	O	O
86	O	O
cold	O	O
adaption	O	O
-	O	O
mutation	O	O
found	O	O
influenza	B-virus	B-virus
A	I-virus	I-virus
virus	E-virus	I-virus
strain	O	O
-	O	O
contributes	O	O
att	O	O
phenotype	O	O
.	O	O
		
Prior	O	O
studies	O	O
shown	O	O
region	O	O
M2	O	O
cytoplasmic	O	O
tail	O	O
critical	O	O
influenza	B-virus	B-virus
virus	E-virus	I-virus
replication	O	O
.	O	O
		
Using	O	O
reverse	O	O
genetics	O	O
,	O	O
demonstrate	O	O
certain	O	O
amino	O	O
acid	O	O
substitutions	O	O
M2	O	O
positions	O	O
83	O	O
86	O	O
alter	O	O
replication	O	O
influenza	B-virus	B-virus
A/Udorn/307/72	E-virus	I-virus
(	O	O
H3N2	B-virus	B-virus
)	O	O
.	O	O
		
Importantly	O	O
,	O	O
substitution	O	O
Ser	O	O
M2	O	O
position	O	O
86	O	O
reduces	O	O
A/Udorn/307/72	B-virus	B-virus
replication	O	O
differentiated	O	O
primary	O	O
human	O	O
nasal	O	O
epithelial	O	O
cell	O	O
(	O	O
hNECs	O	O
)	O	O
cultures	O	O
,	O	O
considerably	O	O
affect	O	O
replication	O	O
MDCK	O	O
cells	O	O
.	O	O
		
When	O	O
Ser	O	O
substituted	O	O
Ala	O	O
M2	O	O
86	O	O
LAIV	O	O
,	O	O
virus	B-virus	B-virus
replicated	O	O
higher	O	O
titers	O	O
faster	O	O
kinetics	O	O
hNEC	O	O
cultures	O	O
,	O	O
implicating	O	O
amino	O	O
acid	O	O
change	O	O
contributing	O	O
LAIV	O	O
attenuation	O	O
.	O	O
		
Increased	O	O
replication	O	O
also	O	O
resulted	O	O
increased	O	O
production	O	O
IFN-位	O	O
.	O	O
		
These	O	O
data	O	O
indicate	O	O
LAIV	O	O
associated	O	O
Ser	O	O
mutation	O	O
M2	O	O
position	O	O
86	O	O
contributes	O	O
att	O	O
phenotype	O	O
associated	O	O
differential	O	O
regulation	O	O
interferon	O	O
LAIV	O	O
infection	O	O
.	O	O
