	BIEO	IOB2
The	O	O
transduction	O	O
analysis	O	O
luciferase-expressing	O	O
viruses	B-virus	B-virus
demonstrated	O	O
5月3日	B-virus	B-virus
fiber	O	O
modification	O	O
maximized	O	O
virus	B-virus	B-virus
infectivity	O	O
.	O	O
		
In	O	O
vitro	O	O
,	O	O
viruses	B-virus	B-virus
(	O	O
5/324	B-virus	B-virus
5/3CB016	B-virus	B-virus
)	O	O
demonstrated	O	O
profound	O	O
oncolytic	O	O
effects	O	O
.	O	O
		
The	O	O
5/3CB016	B-virus	B-virus
virus	E-virus	I-virus
selective	O	O
HPV-positive	B-virus	B-virus
HNSCC	O	O
cells	O	O
,	O	O
whereas	O	O
5/324	B-virus	B-virus
virus	E-virus	I-virus
killed	O	O
HNSCC	O	O
cells	O	O
regardless	O	O
HPV	B-virus	B-virus
status	O	O
.	O	O
		
In	O	O
vivo	O	O
,	O	O
single	O	O
injections	O	O
viruses	B-virus	B-virus
demonstrated	O	O
anti-tumor	O	O
effects	O	O
days	O	O
following	O	O
viral	O	O
inoculation	O	O
.	O	O
		
However	O	O
,	O	O
four	O	O
viral	O	O
injections	O	O
,	O	O
statistically	O	O
significant	O	O
reductions	O	O
tumor	O	O
growth	O	O
compared	O	O
control	O	O
group	O	O
(	O	O
p	O	O
<	O	O
0.05	O	O
)	O	O
.	O	O
