	BIEO	IOB2
Most	O	O
tumours	O	O
head	O	O
neck	O	O
attributable	O	O
smoking	O	O
alcohol	O	O
use	O	O
,	O	O
increasing	O	O
proportion	O	O
head	O	O
neck	O	O
tumours	O	O
caused	O	O
human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
use	O	O
house	O	O
molecular	O	O
assays	O	O
detect	O	O
genotype	O	O
HPV	B-virus	B-virus
biopsies	O	O
patients	O	O
histologically	O	O
confirmed	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
results	O	O
compared	O	O
p16	O	O
immunohistochemistry	O	O
staining	O	O
,	O	O
described	O	O
potential	O	O
marker	O	O
HPV	B-virus	B-virus
infection	O	O
.	O	O
