	BIEO	IOB2
Viral	O	O
infections	O	O
,	O	O
including	O	O
cytomegalovirus	B-virus	B-virus
(	O	O
CMV	B-virus	B-virus
)	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
,	O	O
play	O	O
important	O	O
role	O	O
carcinogenesis	O	O
influence	O	O
patients	O	O
'	O	O
prognosis	O	O
condition	O	O
cancer	O	O
treatment.The	O	O
goal	O	O
study	O	O
investigate	O	O
CMV	B-virus	B-virus
EBV	B-virus	B-virus
infections	O	O
patients	O	O
receiving	O	O
radiotherapy	O	O
radiochemotherapy	O	O
due	O	O
head	O	O
neck	O	O
cancers	O	O
determine	O	O
influence	O	O
infections	O	O
risk	O	O
death	O	O
.	O	O
		
The	O	O
observation	O	O
period	O	O
2	O	O
years.Of	O	O
41	O	O
patients	O	O
enrolled	O	O
,	O	O
11	O	O
received	O	O
radiotherapy	O	O
(	O	O
simultaneous-integrated	O	O
boost	O	O
intensity-modulated	O	O
radiation	O	O
therapy	O	O
[	O	O
SIB-IMRT	O	O
]	O	O
,	O	O
2.25	O	O
Gy/fraction	O	O
,	O	O
30	O	O
fractions	O	O
,	O	O
[	O	O
n	O	O
=	O	O
7	O	O
]	O	O
IMRT	O	O
,	O	O
2	O	O
Gy	O	O
per	O	O
fraction	O	O
,	O	O
35	O	O
fractions	O	O
,	O	O
[	O	O
n	O	O
=	O	O
4	O	O
]	O	O
)	O	O
30	O	O
received	O	O
radiochemotherapy	O	O
(	O	O
cisplatin	O	O
100	O	O
mg/m	O	O
SIB-IMRT	O	O
[	O	O
n	O	O
=	O	O
13	O	O
]	O	O
IMRT	O	O
[	O	O
n	O	O
=	O	O
17	O	O
]	O	O
)	O	O
.	O	O
		
Plasma	O	O
CMV	B-virus	B-virus
EBV	B-virus	B-virus
DNA	O	O
levels	O	O
assessed	O	O
using	O	O
real-time	O	O
PCR	O	O
treatment	O	O
4	O	O
weeks	O	O
posttreatment.The	O	O
risk	O	O
death	O	O
group	O	O
positive	O	O
plasma	O	O
CMV	B-virus	B-virus
EBV	B-virus	B-virus
deoxyribonucleic	O	O
acid	O	O
(	O	O
DNA	O	O
)	O	O
significantly	O	O
higher	O	O
compared	O	O
group	O	O
without	O	O
detectable	O	O
plasma	O	O
CMV	B-virus	B-virus
(	O	O
odd	O	O
ratio	O	O
[	O	O
OR	O	O
]	O	O
:	O	O
7.5	O	O
,	O	O
95	O	O
%	O	O
confidence	O	O
interval	O	O
[	O	O
CI	O	O
]	O	O
:	O	O
1.11-50.67	O	O
)	O	O
EBV	B-virus	B-virus
DNA	O	O
(	O	O
OR	O	O
:	O	O
10.91	O	O
,	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
1.135-104.8	O	O
)	O	O
.	O	O
		
Results	O	O
confirmed	O	O
using	O	O
Bayesian	O	O
method	O	O
.	O	O
		
Plasma	O	O
positivity	O	O
CMV	B-virus	B-virus
EBV	B-virus	B-virus
DNA	O	O
associated	O	O
higher	O	O
risk	O	O
death	O	O
(	O	O
P	O	O
=	O	O
0.04	O	O
)	O	O
.Viral	O	O
infections	O	O
negatively	O	O
affect	O	O
survival	O	O
patients	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
		
Diagnosing	O	O
treating	O	O
viral	O	O
infections	O	O
patients	O	O
positive	O	O
results	O	O
considered	O	O
.	O	O
