	BIEO	IOB2
Immunoglobulin	O	O
G4	O	O
(	O	O
IgG4	O	O
)	O	O
#NAME?	O	O
disease	O	O
(	O	O
IgG4-RD	O	O
)	O	O
immune-mediated	O	O
condition	O	O
characterized	O	O
infiltration	O	O
involved	O	O
organs	O	O
IgG4-bearing	O	O
plasma	O	O
cells	O	O
.	O	O
		
The	O	O
prevalence	O	O
autoimmune	O	O
diseases	O	O
,	O	O
associated	O	O
occurring	O	O
patients	O	O
human	B-virus	B-virus
immunodeficiency	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HIV	B-virus	B-virus
)	O	O
infection	O	O
,	O	O
increasing	O	O
.	O	O
		
We	O	O
describe	O	O
58-year-old	O	O
man	O	O
undiagnosed	O	O
HIV	B-virus	B-virus
infection	O	O
,	O	O
presented	O	O
chronic	O	O
cervical	O	O
lymphadenopathy	O	O
elevated	O	O
serum	O	O
IgG4	O	O
high	O	O
IgE	O	O
.	O	O
		
Histologically	O	O
,	O	O
lymph	O	O
nodes	O	O
showed	O	O
expanded	O	O
sinusoids	O	O
burnt-out	O	O
germinal	O	O
centers	O	O
increased	O	O
plasmacytic	O	O
infiltration	O	O
collagen	O	O
fiber	O	O
deposition	O	O
.	O	O
		
The	O	O
absolute	O	O
number	O	O
IgG4+	O	O
plasma	O	O
cells	O	O
IgG4+/IgG+	O	O
plasma	O	O
cell	O	O
ratio	O	O
increased	O	O
.	O	O
		
The	O	O
lymph	O	O
nodes	O	O
enlarged	O	O
clinically	O	O
patient	O	O
improved	O	O
steroid	O	O
treatment	O	O
.	O	O
		
Nine	O	O
months	O	O
later	O	O
,	O	O
diagnosed	O	O
acquired	O	O
immune	O	O
deficiency	O	O
syndrome	O	O
,	O	O
following	O	O
presentation	O	O
cavitary	O	O
left	O	O
lung	O	O
lesion	O	O
.	O	O
		
Immunohistochemical	O	O
studies	O	O
previously	O	O
resected	O	O
lymph	O	O
node	O	O
revealed	O	O
complete	O	O
absence	O	O
CD4+	O	O
T-lymphocytes	O	O
increased	O	O
CD8+	O	O
T-lymphocytes	O	O
.	O	O
		
The	O	O
pathologic	O	O
findings	O	O
met	O	O
criteria	O	O
HIV	B-virus	B-virus
infection	O	O
IgG4-related	O	O
lymphadenopathy	O	O
.	O	O
		
Our	O	O
case	O	O
demonstrates	O	O
investigations	O	O
underlying	O	O
HIV	B-virus	B-virus
infection	O	O
case	O	O
IgG4-RD	O	O
critical	O	O
,	O	O
especially	O	O
extremely	O	O
elevated	O	O
IgE	O	O
concomitantly	O	O
present	O	O
.	O	O
