	BIEO	IOB2
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
detected	O	O
70-80	O	O
%	O	O
oropharyngeal	O	O
cancers	O	O
developed	O	O
world	O	O
,	O	O
incidence	O	O
reached	O	O
epidemic	O	O
proportions	O	O
.	O	O
		
The	O	O
current	O	O
paradigm	O	O
regarding	O	O
status	O	O
viral	O	O
genome	O	O
cancers	O	O
three	O	O
situations	O	O
:	O	O
one	O	O
viral	O	O
genome	O	O
remains	O	O
episomal	O	O
,	O	O
one	O	O
viral	O	O
genome	O	O
integrates	O	O
host	O	O
genome	O	O
third	O	O
mixture	O	O
integrated	O	O
episomal	O	O
HPV	B-virus	B-virus
genomes	O	O
.	O	O
		
Our	O	O
recent	O	O
work	O	O
suggests	O	O
third	O	O
category	O	O
mischaracterized	O	O
integrated	O	O
HPV	B-virus	B-virus
genomes	O	O
;	O	O
evidence	O	O
indicates	O	O
category	O	O
consists	O	O
virus-human	O	O
hybrid	O	O
episomes	O	O
.	O	O
		
Most	O	O
hybrid	O	O
episomes	O	O
consistent	O	O
maintained	O	O
replication	O	O
HPV	B-virus	B-virus
origin	O	O
.	O	O
		
We	O	O
discuss	O	O
evidence	O	O
support	O	O
new	O	O
paradigm	O	O
,	O	O
genomes	O	O
arise	O	O
,	O	O
importantly	O	O
implications	O	
clinical	O	O
management	O	O
HPV	B-virus	B-virus
positive	O	O
head	O	O
neck	O	O
cancers	O	O
following	O	O
accurate	O	O
determination	O	O
viral	O	O
genome	O	O
status	O	O
.		
