	BIEO	IOB2
On	O	O
basis	O	O
evaluation	O	O
116	O	O
whole-exome	O	O
,	O	O
23	O	O
whole-transcriptome	O	O
2	O	O
whole-genome	O	O
data	O	O
,	O	O
able	O	O
identify	O	O
presence	O	O
HPV	B-virus	B-virus
20	O	O
exomes	O	O
4	O	O
transcriptomes	O	O
cervical	O	O
head	O	O
neck	O	O
cancer	O	O
tumour	O	O
samples	O	O
.	O	O
		
Using	O	O
inbuilt	O	O
annotation	O	O
module	O	O
HPVDetector	B-virus	B-virus
,	O	O
found	O	O
predominant	O	O
integration	O	O
viral	O	O
gene	O	O
E7	O	O
,	O	O
known	O	O
oncogene	O	O
,	O	O
known	O	O
17q21	O	O
,	O	O
3q27	O	O
,	O	O
7q35	O	O
,	O	O
Xq28	O	O
novel	O	O
sites	O	O
integration	O	O
human	O	O
genome	O	O
.	O	O
		
Furthermore	O	O
,	O	O
co-infection	O	O
high-risk	B-virus	B-virus
HPVs	E-virus	I-virus
16	O	O
31	O	O
found	O	O
mutually	O	O
exclusive	O	O
compared	O	O
low-risk	B-virus	B-virus
HPV71	E-virus	I-virus
.	O	O
