	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
major	O	O
causative	O	O
agent	O	O
cervical	O	O
cancers	O	O
.	O	O
		
Over	O	O
past	O	O
several	O	O
decades	O	O
,	O	O
increasing	O	O
number	O	O
studies	O	O
established	O	O
strong	O	O
association	O	O
HPV	B-virus	B-virus
subset	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
HNSCCs	O	O
)	O	O
.	O	O
		
In	O	O
present	O	O
study	O	O
,	O	O
reviewed	O	O
evidence	O	O
,	O	O
including	O	O
epidemiology	O	O
,	O	O
carcinogens	O	O
,	O	O
diagnosis	O	O
,	O	O
treatment	O	O
,	O	O
prognosis	O	O
,	O	O
showing	O	O
HPV-positive	B-virus	B-virus
HNSCCs	O	O
exhibit	O	O
variety	O	O
distinct	O	O
characteristics	O	O
understanding	O	O
tumor	O	O
biology	O	O
improving	O	O
cancer	O	O
treatment	O	O
.	O	O
