	BIEO	IOB2
Each	O	O
adenovirus	O	O
included	O	O
small	O	O
deletion	O	O
(	O	O
)	O	O
E1a	O	O
region	O	O
genome	O	O
(	O	O
24	O	O
CB016	O	O
)	O	O
intended	O	O
allow	O	O
selective	O	O
replication	O	O
HPV-positive	B-virus	B-virus
cells	O	O
.	O	O
		
In	O	O
vitro	O	O
assays	O	O
performed	O	O
analyze	O	O
transduction	O	O
efficiency	O	O
vectors	O	O
cell	O	O
viability	O	O
following	O	O
viral	O	O
infection	O	O
.	O	O
		
Then	O	O
,	O	O
UPCI	O	O
SCC090	O	O
cell	O	O
line	O	O
(	O	O
HPV-positive	B-virus	B-virus
)	O	O
used	O	O
establish	O	O
subcutaneous	O	O
tumors	O	O
flanks	O	O
nude	O	O
mice	O	O
.	O	O
		
The	O	O
tumors	O	O
treated	O	O
either	O	O
one	O	O
dose	O	O
virus	B-virus	B-virus
four	O	O
doses	O	O
(	O	O
injected	O	O
every	O	O
fourth	O	O
day	O	O
)	O	O
.	O	O
