	BIEO	IOB2
E6/E7	O	O
alternate	O	O
transcripts	O	O
assessed	O	O
reverse	O	O
transcriptase-polymerase	O	O
chain	O	O
reaction	O	O
(	O	O
RT-PCR	O	O
)	O	O
.	O	O
		
Detection	O	O
integrated	O	O
papillomavirus	B-virus	B-virus
sequences	O	O
(	O	O
DIPS-PCR	O	O
)	O	O
sequencing	O	O
identified	O	O
viral	O	O
insertion	O	O
sites	O	O
affected	O	O
host	O	O
genes	O	O
.	O	O
		
Cellular	O	O
gene	O	O
expression	O	O
assessed	O	O
across	O	O
viral	O	O
integration	O	O
sites	O	O
.	O	O
