	BIEO	IOB2
Head	O	O
neck	O	O
cancers	O	O
constitute	O	O
multifactorial	O	O
global	O	O
disease	O	O
burden	O	O
associated	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
possible	O	O
risk	O	O
factor	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
understand	O	O
relationship	O	O
HPV	B-virus	B-virus
development	O	O
head	O	O
neck	O	O
lesions	O	O
Indian	O	O
patients	O	O
.	O	O
		
To	O	O
end	O	O
,	O	O
frequency	O	O
HPV	B-virus	B-virus
assessed	O	O
relation	O	O
different	O	O
demographic	O	O
etiological	O	O
features	O	O
correlated	O	O
patient	O	O
survival	O	O
.	O	O
		
The	O	O
prevalence	O	O
HPV	B-virus	B-virus
significantly	O	O
increased	O	O
mild	O	O
dysplastic	O	O
lesions	O	O
(	O	O
43.6	O	O
%	O	O
)	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
stage	O	O
IV	O	O
(	O	O
68.5	O	O
%	O	O
)	O	O
HPV	B-virus	B-virus
16	O	O
pre-dominant	O	O
dysplasia	O	O
(	O	O
43.8	O	O
%	O	O
)	O	O
HNSCC	O	O
(	O	O
61.5	O	O
%	O	O
)	O	O
.	O	O
		
Similar	O	O
trend	O	O
observed	O	O
increasing	O	O
grades	O	O
tumour	O	O
.	O	O
		
In	O	O
invasive	O	O
lesions	O	O
,	O	O
patients	O	O
aged	O	O
median	O	O
age	O	O
onset	O	O
showed	O	O
significantly	O	O
higher	O	O
occurrence	O	O
HPV	B-virus	B-virus
.	O	O
		
Patients	O	O
harbouring	O	O
HPV	B-virus	B-virus
showed	O	O
significantly	O	O
better	O	O
survival	O	O
irrespective	O	O
age	O	O
onset	O	O
.	O	O
		
Likewise	O	O
,	O	O
better	O	O
survival	O	O
observed	O	O
tobacco	O	O
habit	O	O
negative/HPV-positive	B-virus	B-virus
patients	O	O
,	O	O
reflected	O	O
univariate	O	O
multivariate	O	O
analysis	O	O
.	O	O
		
Majority	O	O
HPV	B-virus	B-virus
16-positive	O	O
samples	O	O
showed	O	O
moderate/high	O	O
nuclear	O	O
expression	O	O
HPV	B-virus	B-virus
E6	O	O
E7	O	O
proteins	O	O
tumours	O	O
respective	O	O
basal	O	O
layer	O	O
adjacent	O	O
normal	O	O
tissues	O	O
.	O	O
		
Thus	O	O
,	O	O
data	O	O
indicate	O	O
frequent	O	O
HPV	B-virus	B-virus
infection	O	O
,	O	O
along	O	O
tobacco	O	O
habit	O	O
,	O	O
pre-requisite	O	O
factor	O	O
development	O	O
HNSCC	O	O
Indian	O	O
patients	O	O
offers	O	O
better	O	O
survival	O	O
even	O	O
tobacco	O	O
usage	O	O
,	O	O
implicating	O	O
diagnostic	O	O
prognostic	O	O
importance	O	O
.	O	O
