	BIEO	IOB2
In	O	O
addition	O	O
tobacco	O	O
alcohol	O	O
consumption	O	O
,	O	O
two	O	O
main	O	O
risk	O	O
factors	O	O
oral	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
OSCC	O	O
)	O	O
,	O	O
recent	O	O
studies	O	O
revealed	O	O
infections	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
additional	O	O
risk	O	O
factor	O	O
OSCC	O	O
development	O	O
.	O	O
		
In	O	O
field	O	O
head	O	O
neck	O	O
malignancies	O	O
,	O	O
prevalence	O	O
HPV	B-virus	B-virus
infections	O	O
oropharyngeal	O	O
cancer	O	O
(	O	O
OC	O	O
)	O	O
ranges	O	O
different	O	O
studies	O	O
84	O	O
%	O	O
.	O	O
		
While	O	O
HPV	B-virus	B-virus
infection	O	O
discussed	O	O
independent	O	O
risk	O	O
factor	O	O
region	O	O
,	O	O
distinguished	O	O
role	O	O
carcinogenesis	O	O
tumours	O	O
localized	O	O
oral	O	O
cavity	O	O
remains	O	O
still	O	O
uncertain	O	O
.	O	O
		
In	O	O
study	O	O
,	O	O
analysed	O	O
HPV	B-virus	B-virus
status	O	O
88	O	O
consecutive	O	O
patients	O	O
OSCCs	O	O
localized	O	O
anterior	O	O
palatoglossal	O	O
arch	O	O
treated	O	O
Department	O	O
Oral	O	O
Maxillofacial	O	O
Surgery	O	O
University	O	O
Medical	O	O
Center	O	O
Mainz	O	O
.	O	O
		
The	O	O
HPV	B-virus	B-virus
status	O	O
analysis	O	O
performed	O	O
using	O	O
DNA-PCR	O	O
immunostaining	O	O
p16	O	O
protein	O	O
.	O	O
		
The	O	O
prevalence	O	O
HPV-positive	O	O
OSCCs	O	O
6	O	O
%	O	O
(	O	O
5	O	O
patients	O	O
)	O	O
.	O	O
		
In	O	O
3	O	O
patients	O	O
HPV	B-virus	B-virus
subtypes	O	O
16/18	E-virus	I-virus
found	O	O
.	O	O
		
No	O	O
significant	O	O
differences	O	O
HPV	B-virus	B-virus
positive	O	O
negative	O	O
patients	O	O
regarding	O	O
age	O	O
,	O	O
gender	O	O
,	O	O
smoking	O	O
alcohol	O	O
consumption	O	O
,	O	O
localization	O	O
TNM	O	O
level	O	O
could	O	O
detected	O	O
.	O	O
		
Contrary	O	O
studies	O	O
focussing	O	O
cancers	O	O
lingual	O	O
palatine	O	O
tonsil	O	O
,	O	O
prevalence	O	O
HPV	B-virus	B-virus
infections	O	O
much	O	O
lower	O	O
oral	O	O
cavity	O	O
.	O	O
		
Therefore	O	O
HPV	B-virus	B-virus
infection	O	O
might	O	O
play	O	O
less	O	O
important	O	O
role	O	O
oral	O	O
carcinogenesis	O	O
.	O	O
