	BIEO	IOB2
Accurate	O	O
estimates	O	O
fraction	O	O
head	O	O
neck	O	O
cancer	O	O
(	O	O
HNC	O	O
)	O	O
attributable	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
essential	O	O
predict	O	O
effectiveness	O	O
interventions	O	O
based	O	O
vaccination	O	O
HPV	B-virus	B-virus
HPV-testing	B-virus	B-virus
.	O	O
		
In	O	O
addition	O	O
,	O	O
supported	O	O
currently	O	O
on-going	O	O
clinical	O	O
trials	O	O
,	O	O
attribution	O	O
HNC	O	O
HPV	B-virus	B-virus
may	O	O
allow	O	O
better	O	O
less	O	O
toxic	O	O
treatments	O	O
.	O	O
		
Here	O	O
focused	O	O
studies	O	O
prevalence	O	O
molecular	O	O
serological	O	O
HPV	B-virus	B-virus
markers	O	O
similarly	O	O
assessed	O	O
oropharyngeal	O	O
non-oropharyngeal	O	O
HNC	O	O
.	O	O
		
Large	O	O
data	O	O
HPV	B-virus	B-virus
DNA	O	O
detection	O	O
PCR	O	O
p16	O	O
expression	O	O
HNC	O	O
biopsies	O	O
suggests	O	O
probability	O	O
cancer	O	O
oral	O	O
cavity	O	O
,	O	O
larynx	O	O
,	O	O
hypopharynx	O	O
attributable	O	O
HPV	B-virus	B-virus
least	O	O
5-fold	O	O
lower	O	O
oropharyngeal	O	O
cancer	O	O
.	O	O
		
Seropositivity	O	O
HPV16	B-virus	B-virus
E6	O	O
E7	O	O
shows	O	O
larger	O	O
differences	O	O
across	O	O
sites	O	O
,	O	O
findings	O	O
vary	O	O
studies	O	O
.	O	O
		
Because	O	O
HPV	B-virus	B-virus
DNA	O	O
p16	O	O
detection	O	O
lack	O	O
specificity	O	O
,	O	O
E6	O	O
E7	O	O
antibody	O	O
detection	O	O
lacks	O	O
sensitivity	O	O
,	O	O
tests	O	O
totally	O	O
satisfactory	O	O
.	O	O
		
Limited	O	O
data	O	O
situ	O	O
hybridization	O	O
HPV	B-virus	B-virus
E6/E7	O	O
mRNA	O	O
,	O	O
mainly	O	O
United	O	O
States	O	O
,	O	O
suggests	O	O
HPV-attributable	B-virus	B-virus
HNC	O	O
rare	O	O
oral	O	O
cavity	O	O
(	O	O
∼3	O	O
%	O	O
)	O	O
,	O	O
larynx	O	O
(	O	O
∼7	O	O
%	O	O
)	O	O
,	O	O
hypopharynx	O	O
(	O	O
∼0	O	O
%	O	O
)	O	O
.	O	O
		
Data	O	O
HPV	B-virus	B-virus
rarer	O	O
HNCs	O	O
extremely	O	O
limited	O	O
essentially	O	O
negative	O	O
.	O	O
		
Available	O	O
data	O	O
allow	O	O
establishment	O	O
way	O	O
HPV	B-virus	B-virus
infection	O	O
tobacco	O	O
may	O	O
interact	O	O
non-oropharyngeal	O	O
HNC	O	O
.	O	O
		
The	O	O
exclusion	O	O
oropharynx	O	O
site	O	O
tumor	O	O
origin	O	O
identification	O	O
robust	O	O
fingerprints	O	O
HPV-driven	B-virus	B-virus
carcinogenesis	O	O
priorities	O	O
improve	O	O
estimate	O	O
HPV-attributable	B-virus	B-virus
non-oropharyngeal	O	O
HNC	O	O
.	O	O
