	BIEO	IOB2
Surgically	O	O
removed	O	O
palatine	O	O
tonsils	O	O
provide	O	O
conveniently	O	O
accessible	O	O
source	O	O
T	O	O
B	O	O
lymphocytes	O	O
study	O	O
interplay	O	O
foreign	O	O
pathogens	O	O
host	O	O
immune	O	O
system	O	O
.	O	O
		
In	O	O
study	O	O
characterised	O	O
distribution	O	O
human	B-virus	B-virus
adenovirus	E-virus	I-virus
(	O	O
HAdV	B-virus	B-virus
)	O	O
,	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
human	B-virus	B-virus
cytomegalovirus	E-virus	I-virus
(	O	O
HCMV	B-virus	B-virus
)	O	O
purified	O	O
tonsillar	O	O
T	O	O
B	O	O
cell-enriched	O	O
fractions	O	O
isolated	O	O
three	O	O
patient	O	O
age	O	O
groups	O	O
diagnosed	O	O
tonsillar	O	O
hypertrophy	O	O
chronic/recurrent	O	O
tonsillitis	O	O
.	O	O
		
HAdV	B-virus	B-virus
DNA	O	O
detected	O	O
93	O	O
111	O	O
patients	O	O
(	O	O
84	O	O
%	O	O
)	O	O
,	O	O
EBV	B	B-virus
DNA	O	O
detected	O	O
58	O	O
patients	O	O
(	O	O
52	O	O
%	O	O
)	O	O
.	O	O
		
The	O	O
abundant	O	O
adenovirus	O	O
type	O	O
HAdV-5	B-virus	B-virus
(	O	O
68	O	O
%	O	O
)	O	O
.	O	O
		
None	O	O
patients	O	O
positive	O	O
HCMV	B-virus	B-virus
.	O	O
		
Furthermore	O	O
,	O	O
43	O	O
patients	O	O
(	O	O
39	O	O
%	O	O
)	O	O
showed	O	O
co-infection	O	O
HAdV	B-virus	B-virus
EBV	B-virus	B-virus
.	O	O
		
The	O	O
majority	O	O
young	O	O
patients	O	O
diagnosed	O	O
tonsillar	O	O
hypertrophy	O	O
positive	O	O
HAdV	B-virus	B-virus
,	O	O
whereas	O	O
adult	O	O
patients	O	O
diagnosed	O	O
chronic/recurrent	O	O
tonsillitis	O	O
positive	O	O
either	O	O
HAdV	B-virus	B-virus
EBV	B-virus	B-virus
.	O	O
		
Most	O	O
tonsils	O	O
patients	O	O
diagnosed	O	O
either	O	O
tonsillar	O	O
hypertrophy	O	O
chronic/recurrent	O	O
tonsillitis	O	O
showed	O	O
higher	O	O
HAdV	B-virus	B-virus
DNA	O	O
copy	O	O
number	O	O
T	O	O
compared	O	O
B	O	O
cell-enriched	O	O
fraction	O	O
.	O	O
		
Interestingly	O	O
,	O	O
majority	O	O
tonsils	O	O
patients	O	O
chronic/recurrent	O	O
tonsillitis	O	O
HAdV	B-virus	B-virus
DNA	O	O
detected	O	O
T	O	O
cells	O	O
,	O	O
whereas	O	O
hypertrophic	O	O
tonsils	O	O
demonstrated	O	O
HAdV	B-virus	B-virus
DNA	O	O
T	O	O
B	O	O
cell-enriched	O	O
fractions	O	O
.	O	O
		
In	O	O
contrast	O	O
,	O	O
majority	O	O
EBV	B-virus	B-virus
positive	O	O
tonsils	O	O
revealed	O	O
preference	O	O
EBV	B-virus	B-virus
DNA	O	O
accumulation	O	O
B	O	O
cell-enriched	O	O
fraction	O	O
compared	O	O
T	O	O
cell	O	O
fraction	O	O
irrespective	O	O
patients	O	O
'	O	O
age	O	O
.	O	O
