	BIEO	IOB2
The	O	O
mutational	O	O
makeup	O	O
HPV-positive	B-virus	B-virus
HPV-negative	B-virus	B-virus
HNSCC	O	O
differs	O	O
significantly	O	O
,	O	O
including	O	O
targetable	O	O
genes	O	O
.	O	O
		
HNSCC	O	O
harbors	O	O
multiple	O	O
therapeutically	O	O
important	O	O
genetic	O	O
aberrations	O	O
,	O	O
including	O	O
frequent	O	O
aberrations	O	O
FGFR	O	O
PI3K	O	O
pathway	O	O
genes	O	O
.	O	O
		
See	O	O
related	O	O
commentary	O	O
Krigsfeld	O	O
Chung	O	O
,	O	O
p.	O	O
495	O	O
.	O	O
