	BIEO	IOB2
We	O	O
aimed	O	O
investigate	O	O
seasonal	O	O
disturbations	O	O
rates	O	O
detection	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
,	O	O
Human	B-virus	B-virus
Bocavirus	E-virus	I-virus
(	O	O
HBoV	B-virus	B-virus
)	O	O
,	O	O
polyomaviruses	B-virus	B-virus
KI	E-virus	I-virus
WU	E-virus	I-virus
(	O	O
KIPyV	B-virus	B-virus
WUPyV	B-virus	B-virus
)	O	O
adenoid	O	O
tonsil	O	O
tissues	O	O
absence	O	O
acute	O	O
infection	O	O
symptoms	O	O
.	O	O
