	BIEO	IOB2
When	O	O
deciding	O	O
treat	O	O
patients	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
head	O	O
neck	O	O
(	O	O
SCCHN	O	O
)	O	O
,	O	O
several	O	O
factors	O	O
taken	O	O
account	O	O
:	O	O
disease	O	O
factors	O	O
,	O	O
patient	O	O
factors	O	O
,	O	O
treatment	O	O
factors	O	O
,	O	O
wish	O	O
patient	O	O
.	O	O
		
This	O	O
symposium	O	O
article	O	O
summarizing	O	O
information	O	O
HPV	B-virus	B-virus
(	O	O
p16	E-virus	I-virus
)	O	O
context	O	O
decision	O	O
making	O	O
SCCHN	O	O
patients	O	O
locoregionally	O	O
advanced	O	O
disease	O	O
recurrent/metastatic	O	O
disease	O	O
.	O	O
		
The	O	O
literature	O	O
data	O	O
suggest	O	O
HPV	B-virus	B-virus
(	O	O
p16	E-virus	I-virus
)	O	O
prognostic	O	O
significance	O	O
,	O	O
locoregionally	O	O
advanced	O	O
disease	O	O
(	O	O
particular	O	O
,	O	O
oropharynx	O	O
cancer	O	O
)	O	O
recurrent/metastatic	O	O
disease	O	O
,	O	O
limited	O	O
data	O	O
predictive	O	O
significance	O	O
.	O	O
		
Results	O	O
HPV	B-virus	B-virus
(	O	O
p16	E-virus	I-virus
)	O	O
testing	O	O
change	O	O
management	O	O
outside	O	O
clinical	O	O
trials	O	O
.	O	O
