	BIEO	IOB2
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
family	O	O
small	O	O
double-stranded	O	O
DNA	O	O
viruses	B-virus	B-virus
tropism	O	O
epithelia	O	O
genital	O	O
upper	O	O
respiratory	O	O
tracts	O	O
skin	O	O
.	O	O
		
Approximately	O	O
150	O	O
HPV	B-virus	B-virus
types	O	O
discovered	O	O
far	O	O
,	O	O
classified	O	O
several	O	O
genera	O	O
based	O	O
DNA	O	O
sequence	O	O
.	O	O
		
Approximately	O	O
15	O	O
high-risk	O	O
mucosal	O	O
HPV	B-virus	B-virus
types	O	O
clearly	O	O
associated	O	O
cervical	O	O
cancer	O	O
;	O	O
HPV16	B-virus	B-virus
HPV18	B-virus	B-virus
carcinogenic	O	O
since	O	O
responsible	O	O
approximately	O	O
50	O	O
%	O	O
20	O	O
%	O	O
cervical	O	O
cancers	O	O
worldwide	O	O
,	O	O
respectively	O	O
.	O	O
		
It	O	O
also	O	O
clear	O	O
viruses	B-virus	B-virus
linked	O	O
subset	O	O
genital	O	O
cancers	O	O
,	O	O
well	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
		
Due	O	O
high	O	O
level	O	O
carcinogenic	O	O
activity	O	O
,	O	O
HPV16	B-virus	B-virus
HPV18	B-virus	B-virus
studied	O	O
HPV	B-virus	B-virus
types	O	O
far	O	O
.	O	O
		
Biological	O	O
studies	O	O
highlighted	O	O
key	O	O
roles	O	O
cellular	O	O
transformation	O	O
products	O	O
two	O	O
viral	O	O
early	O	O
genes	O	O
,	O	O
E6	O	O
E7	O	O
.	O	O
		
Many	O	O
mechanisms	O	O
E6	O	O
E7	O	O
subverting	O	O
regulation	O	O
fundamental	O	O
cellular	O	O
events	O	O
fully	O	O
characterized	O	O
,	O	O
contributing	O	O
knowledge	O	O
oncogenic	O	O
viruses	B-virus	B-virus
promote	O	O
cancer	O	O
development	O	O
also	O	O
understanding	O	O
basic	O	O
cell	O	O
biology	O	O
.	O	O
		
Despite	O	O
HPV	B-virus	B-virus
research	O	O
resulting	O	O
extraordinary	O	O
achievements	O	O
last	O	O
four	O	O
decades	O	O
,	O	O
significantly	O	O
improving	O	O
screening	O	O
prophylaxis	O	O
HPV-induced	O	O
lesions	O	O
,	O	O
additional	O	O
research	O	O
necessary	O	O
characterize	O	O
biology	O	O
epidemiology		O
vast	O	O
number	O	O
HPV	B-virus	B-virus
types	O	O
poorly	O	O
investigated	O	O
far	O	O
,	O	O
final	O	O
aim	O	O
clarifying	O	O
potential	O	O
roles	O	O
human	O	O
diseases	O	O
.	O	O
