	BIEO	IOB2
In	O	O
study	O	O
,	O	O
Oropharyngeal	O	O
HPV	B-virus	B-virus
infection	O	O
rate	O	O
35	O	O
%	O	O
,	O	O
followed	O	O
hypopharynx	O	O
30	O	O
%	O	O
,	O	O
oropharyx	O	O
16	O	O
%	O	O
.	O	O
		
The	O	O
overall	O	O
survival	O	O
rate	O	O
3	O	O
years	O	O
5	O	O
years	O	O
66.4	O	O
%	O	O
,	O	O
39.2	O	O
%	O	O
respectively	O	O
.	O	O
		
The	O	O
clinical	O	O
stage	O	O
,	O	O
N	O	O
stage	O	O
HPV	B-virus	B-virus
influencing	O	O
factors	O	O
prognosis	O	O
patients	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
P	O	O
<	O	O
0.05	O	O
)	O	O
.	O	O
		
N	O	O
stage	O	O
HPV	B-virus	B-virus
independent	O	O
prognostic	O	O
factors	O	O
prognosis	O	O
patients	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
P	O	O
<	O	O
0.05	O	O
)	O	O
.	O	O
