	BIEO	IOB2
The	O	O
CMCSCC-1	O	O
cell	O	O
line	O	O
isolated	O	O
primary	O	O
oral	O	O
tongue	O	O
tumor	O	O
specimen	O	O
female	O	O
patient	O	O
.	O	O
		
Tumor	O	O
cells	O	O
evaluated	O	O
biomarkers	O	O
expression	O	O
Western	O	O
blots	O	O
,	O	O
reverse	O	O
transcriptase-polymerase	O	O
chain	O	O
reaction	O	O
(	O	O
RT-PCR	O	O
)	O	O
,	O	O
fluorescence	O	O
activated	O	O
cell	O	O
sorter	O	O
,	O	O
immunostaining	O	O
.	O	O
		
Cell	O	O
proliferation	O	O
response	O	O
radiation	O	O
measured	O	O
WST-8	O	O
assay	O	O
.	O	O
