	BIEO	IOB2
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
first	O	O
human	B-virus	B-virus
tumor	I-virus	I-virus
virus	E-virus	I-virus
discovered	O	O
50	O	O
years	O	O
ago	O	O
.	O	O
		
EBV-associated	B-virus	B-virus
lymphomagenesis	O	O
still	O	O
significant	O	O
viral-associated	O	O
disease	O	O
involves	O	O
diverse	O	O
range	O	O
pathologies	O	O
,	O	O
especially	O	O
B-cell	O	O
lymphomas	O	O
.	O	O
		
Recent	O	O
development	O	O
high-throughput	O	O
next-generation	O	O
sequencing	O	O
technologies	O	O
vivo	O	O
mouse	O	O
models	O	O
significantly	O	O
promoted	O	O
understanding	O	O
fundamental	O	O
molecular	O	O
mechanisms	O	O
drive	O	O
cancers	O	O
allowed	O	O
development	O	O
therapeutic	O	O
intervention	O	O
strategies	O	O
.	O	O
		
This	O	O
review	O	O
highlight	O	O
current	O	O
advances	O	O
EBV-associated	B-virus	B-virus
B-cell	O	O
lymphomas	O	O
,	O	O
focusing	O	O
transcriptional	O	O
regulation	O	O
,	O	O
chromosome	O	O
aberrations	O	O
,	O	O
vivo	O	O
studies	O	O
EBV-mediated	B-virus	B-virus
lymphomagenesis	O	O
,	O	O
well	O	O
treatment	O	O
strategies	O	O
target	O	O
viral-associated	O	O
lymphomas	O	O
.	O	O
