	BIEO	IOB2
Head	O	O
neck	O	O
cancers	O	O
sixth	O	O
common	O	O
cancer	O	O
world	O	O
predominant	O	O
type	O	O
consist	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
HNSCC	O	O
)	O	O
.	O	O
		
Besides	O	O
tobacco	O	O
smoking	O	O
alcohol	O	O
consumption	O	O
,	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
third	O	O
leading	O	O
cause	O	O
occurrence	O	O
HNSCC	O	O
.	O	O
		
The	O	O
presence	O	O
HPV	B-virus	B-virus
distinct	O	O
group	O	O
head	O	O
neck	O	O
cancers	O	O
exhibiting	O	O
epidemiological	O	O
,	O	O
histopathological	O	O
,	O	O
clinical	O	O
prognostic	O	O
differences	O	O
opposed	O	O
typical	O	O
HNSCC	O	O
.	O	O
		
HPV	B-virus	B-virus
positive	O	O
HNSCC	O	O
normally	O	O
favorable	O	O
prognosis	O	O
compared	O	O
HPV	B-virus	B-virus
negative	O	O
HNSCC	O	O
,	O	O
biomarkers	O	O
suitable	O	O
early	O	O
detection	O	O
HPV	B-virus	B-virus
positive	O	O
HNSCC	O	O
developed	O	O
urgently	O	O
improve	O	O
patient	O	O
outcomes	O	O
.	O	O
		
HPV	B-virus	B-virus
DNA	O	O
screening	O	O
sensitive	O	O
,	O	O
probably	O	O
useful	O	O
high	O	O
prevalence	O	O
oral	O	O
HPV	B-virus	B-virus
low	O	O
risk	O	O
HNSCC	O	O
.	O	O
		
MicroRNAs	O	O
(	O	O
miRNAs	O	O
)	O	O
constitute	O	O
class	O	O
small	O	O
non-coding	O	O
RNAs	O	O
act	O	O
post-transcriptional	O	O
regulators	O	O
gene	O	O
expression	O	O
.	O	O
		
Since	O	O
miRNAs	O	O
role	O	O
cancer	O	O
development	O	O
HPV	B-virus	B-virus
status	O	O
may	O	O
affect	O	O
miRNAs	O	O
expression	O	O
pattern	O	O
HNSCC	O	O
,	O	O
specific	O	O
miRNAs	O	O
'	O	O
expression	O	O
HPV	B-virus	B-virus
positive	O	O
HNSCC	O	O
may	O	O
expound	O	O
role	O	O
HPV	B-virus	B-virus
HNSCC	O	O
new	O	O
biomarkers	O	O
early	O	O
detection	O	O
HNSCC	O	O
.	O	O
		
More	O	O
excitingly	O	O
,	O	O
saliva	O	O
proximal	O	O
biofluid	O	O
context	O	O
HNSCC	O	O
contains	O	O
good	O	O
deal	O	O
miRNAs	O	O
.	O	O
		
These	O	O
miRNAs	O	O
stabile	O	O
may	O	O
suitable	O	O
noninvasive	O	O
biomarkers	O	O
HNSCC	O	O
.	O	O
