	BIEO	IOB2
The	O	O
genetic	O	O
differences	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
#NAME?	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
HNSCC	O	O
)	O	O
remain	O	O
largely	O	O
unknown	O	O
.	O	O
		
To	O	O
identify	O	O
differential	O	O
biology	O	O
novel	O	O
therapeutic	O	O
targets	O	O
entities	O	O
,	O	O
determined	O	O
mutations	O	O
copy-number	O	O
aberrations	O	O
large	O	O
cohort	O	O
locoregionally	O	O
advanced	O	O
HNSCC	O	O
.	O	O
