	BIEO	IOB2
In	O	O
recent	O	O
years	O	O
,	O	O
incidence	O	O
Human	B-virus	B-virus
Papilloma	I-virus	I-virus
Virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
HNSCC	O	O
)	O	O
markedly	O	O
increased	O	O
.	O	O
		
Our	O	O
aim	O	O
design	O	O
novel	O	O
therapeutic	O	O
agent	O	O
use	O	O
conditionally	O	O
replicative	O	O
adenoviruses	O	O
(	O	O
CRAds	O	O
)	O	O
targeted	O	O
HPV	B-virus	B-virus
E6	O	O
E7	O	O
oncoproteins	O	O
.	O	O
