	BIEO	IOB2
The	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
comprises	O	O
heterogeneous	O	O
group	O	O
double-strand	O	O
DNA	O	O
viruses	B-virus	B-virus
variable	O	O
potential	O	O
infect	O	O
human	O	O
epithelial	O	O
cells	O	O
trigger	O	O
neoplastic	O	O
transformation	O	O
.	O	O
		
Its	O	O
8	O	O
kb	O	O
genome	O	O
encodes	O	O
proteins	O	O
required	O	O
virus	B-virus	B-virus
replication	O	O
self-organized	O	O
formation	O	O
infectious	O	O
particles	O	O
also	O	O
early	O	O
proteins	O	O
E6	O	O
E7	O	O
able	O	O
trigger	O	O
neoplastic	O	O
transformation	O	O
.	O	O
		
E6	O	O
E7	O	O
high-risk	B-virus	B-virus
(	O	O
HR	B-virus	B-virus
)	O	O
HPV	E-virus	I-virus
subtypes	O	O
bind	O	O
p53	O	O
release	O	O
E2F	O	O
abrogate	O	O
replication	O	O
control	O	O
.	O	O
		
Due	O	O
variable	O	O
amino	O	O
acid	O	O
sequence	O	O
(	O	O
AAS	O	O
)	O	O
binding	O	O
sites	O	O
E6	O	O
E7	O	O
particular	O	O
HR-HPV	B-virus	B-virus
variants	O	O
within	O	O
subtypes	O	O
essentially	O	O
heterogeneous	O	O
efficacy	O	O
triggering	O	O
neoplastic	O	O
transformation	O	O
cancer	O	O
development	O	O
.	O	O
		
This	O	O
could	O	O
explain	O	O
differences	O	O
clinical	O	O
course	O	O
HPV-driven	B-virus	B-virus
head	O	O
neck	O	O
cancer	O	O
.	O	O
