	BIEO	IOB2
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
comprise	O	O
diverse	O	O
group	O	O
,	O	O
different	O	O
epithelial	O	O
tropisms	O	O
life-cycle	O	O
strategies	O	O
.	O	O
		
Many	O	O
HPVs	B-virus	B-virus
classified	O	O
low-risk	O	O
,	O	O
rarely	O	O
associated	O	O
neoplasia	O	O
cancer	O	O
general	O	O
population	O	O
.	O	O
		
These	O	O
HPVs	B-virus	B-virus
typically	O	O
cause	O	O
inapparent/inconspicuous	O	O
infections	O	O
,	O	O
benign	O	O
papillomas	O	O
,	O	O
persist	O	O
months	O	O
years	O	O
,	O	O
eventually	O	O
resolved	O	O
host	O	O
's	O	O
immune	O	O
system	O	O
.	O	O
		
Low-risk	B-virus	B-virus
HPVs	E-virus	I-virus
difficult	O	O
manage	O	O
immunosuppressed	O	O
people	O	O
individuals	O	O
genetic	O	O
predispositions	O	O
,	O	O
give	O	O
rise	O	O
papillomatosis	O	O
,	O	O
rare	O	O
instances	O	O
,	O	O
cancer	O	O
.	O	O
		
The	O	O
high-risk	B-virus	B-virus
HPV	E-virus	I-virus
types	O	O
,	O	O
contrast	O	O
,	O	O
cause	O	O
several	O	O
important	O	O
human	O	O
cancers	O	O
,	O	O
including	O	O
almost	O	O
cases	O	O
cervical	O	O
cancer	O	O
,	O	O
large	O	O
proportion	O	O
anogenital	O	O
cancers	O	O
growing	O	O
number	O	O
head	O	O
neck	O	O
tumours	O	O
.	O	O
		
The	O	O
high-risk	B-virus	B-virus
HPV	E-virus	I-virus
types	O	O
constitute	O	O
subset	O	O
genus	O	O
Alphapapillomavirus	B-virus	B-virus
prevalent	O	O
general	O	O
population	O	O
,	O	O
individuals	O	O
cause	O	O
inconspicuous	O	O
oral	O	O
genital	O	O
lesions	O	O
.	O	O
		
Cancer	O	O
progression	O	O
associated	O	O
persistent	O	O
high-risk	B-virus	B-virus
HPV	E-virus	I-virus
infection	O	O
deregulated	O	O
viral	O	O
gene	O	O
expression	O	O
,	O	O
leads	O	O
excessive	O	O
cell	O	O
proliferation	O	O
,	O	O
deficient	O	O
DNA	O	O
repair	O	O
,	O	O
accumulation	O	O
genetic	O	O
damage	O	O
infected	O	O
cell	O	O
.	O	O
		
Although	O	O
life-cycle	O	O
organisation	O	O
broadly	O	O
similar	O	O
low-risk	B-virus	B-virus
HPV	E-virus	I-virus
types	O	O
,	O	O
two	O	O
groups	O	O
differ	O	O
significantly	O	O
capacity	O	O
drive	O	O
cell	O	O
cycle	O	O
entry	O	O
cell	O	O
proliferation	O	O
basal/parabasal	O	O
cell	O	O
layers	O	O
.	O	O
		
This	O	O
thought	O	O
linked	O	O
,	O	O
least	O	O
part	O	O
,	O	O
different	O	O
abilities	O	O
high-	O	O
low-risk	O	O
E6	O	O
proteins	O	O
modulate	O	O
activity	O	O
p53	O	O
PDZ-domain	O	O
proteins	O	O
,	O	O
differential	O	O
ability	O	O
E7	O	O
proteins	O	O
target	O	O
several	O	O
different	O	O
members	O	O
retinoblastoma	O	O
protein	O	O
family	O	O
.	O	O
		
This	O	O
article	O	O
forms	O	O
part	O	O
special	O	O
supplement	O	O
entitled	O	O
``	O	O
Comprehensive	O	O
Control	O	O
HPV	B-virus	B-virus
Infections	O	O
Related	O	O
Diseases	O	O
''	O	O
Vaccine	O	O
Volume	O	O
30	O	O
,	O	O
Supplement	O	O
5	O	O
,	O	O
2012	O	O
.	O	O
