	BIEO	IOB2
Despite	O	O
reduction	O	O
smoking	O	O
alcohol	O	O
consumption	O	O
,	O	O
incidence	O	O
oropharyngeal	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
OPSCC	O	O
)	O	O
rising	O	O
.	O	O
		
This	O	O
attributed	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
screening	O	O
HPV	B-virus	B-virus
recommended	O	O
cases	O	O
OPSCC	O	O
.	O	O
		
Despite	O	O
variety	O	O
clinically	O	O
available	O	O
tests	O	O
new	O	O
non-invasive	O	O
test	O	O
strategies	O	O
consensus	O	O
technique	O	O
best	O	O
.	O	O
		
This	O	O
review	O	O
reports	O	O
current	O	O
techniques	O	O
HPV	B-virus	B-virus
detection	O	O
OPSCC	O	O
clinical	O	O
applicability	O	O
emerging	O	O
techniques	O	O
.	O	O
		
Literature	O	O
searches	O	O
Medline	O	O
,	O	O
Embase	O	O
clinicaltrials.gov	O	O
using	O	O
search	O	O
terms	O	O
'head	O	O
neck	O	O
neoplasms	O	O
'	O	O
,	O	O
'squamous	O	O
cell	O	O
carcinoma	O	O
'	O	O
'HPV	B-virus	B-virus
testing	O	O
'	O	O
performed	O	O
.	O	O
		
45	O	O
studies	O	O
identified	O	O
included	O	O
.	O	O
		
p16	O	O
immunohistochemistry	O	O
(	O	O
IHC	O	O
)	O	O
,	O	O
HPV	B-virus	B-virus
DNA	O	O
situ	O	O
hybridization	O	O
(	O	O
ISH	O	O
)	O	O
HPV	B-virus	B-virus
polymerase	O	O
chain	O	O
reaction	O	O
(	O	O
PCR	O	O
)	O	O
commonest	O	O
tests	O	O
determine	O	O
HPV	B-virus	B-virus
status	O	O
.	O	O
		
p16	O	O
IHC	O	O
HPV	B-virus	B-virus
DNA	O	O
PCR	O	O
highly	O	O
sensitive	O	O
whilst	O	O
HPV	B-virus	B-virus
DNA	O	O
ISH	O	O
specific	O	O
,	O	O
techniques	O	O
conventionally	O	O
utilize	O	O
surgical	O	O
biopsies	O	O
.	O	O
		
New	O	O
tests	O	O
using	O	O
PCR	O	O
screen	O	O
fine	O	O
needle	O	O
aspirates	O	O
,	O	O
saliva	O	O
,	O	O
brush	O	O
cytology	O	O
serum	O	O
HPV	B-virus	B-virus
promising	O	O
variable	O	O
sensitivity	O	O
specificity	O	O
.	O	O
		
These	O	O
non-invasive	O	O
samples	O	O
avoid	O	O
morbidity	O	O
surgical	O	O
biopsies	O	O
need	O	O
tissue	O	O
blocks	O	O
;	O	O
clinical	O	O
role	O	O
screening	O	O
surveillance	O	O
remains	O	O
largely	O	O
untested	O	O
.	O	O
		
Further	O	O
work	O	O
needed	O	O
validate	O	O
tests	O	O
define	O	O
role	O	O
.	O	O
