	BIEO	IOB2
In	O	O
addition	O	O
traditional	O	O
risk	O	O
factors	O	O
smoking	O	O
habits	O	O
alcohol	O	O
consumption	O	O
,	O	O
certain	O	O
microbes	O	O
also	O	O
play	O	O
important	O	O
role	O	O
generation	O	O
head	O	O
neck	O	O
carcinomas	O	O
.	O	O
	O	O
Infection	O	O
high-risk	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
types	O	O
strongly	O	O
associated	O	O
development	O	O
oropharyngeal	O	O
carcinoma	O	O
,	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
appears	O	O
indispensable	O	O
development	O	O
non-keratinizing	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
nasopharynx	O	
.	O	O
		
Other	O	O
viruses	B-virus	B-virus
including	O	O
torque	B-virus	B-virus
teno	I-virus	I-virus
virus	E-virus	I-virus
hepatitis	B-virus	B-virus
C	I-virus	I-virus
virus	E-virus	I-virus
may	O	O
act	O	O
co-carcinogens	O	O
,	O	O
increasing	O	O
risk	O	O
malignant	O	O
transformation	O	O
.	O	O
		
A	O	O
shift	O	O
composition	O	O
oral	O	O
microbiome	O	O
associated	O	O
development	O	O
oral	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
although	O	O
causal	O	O
casual	O	O
role	O	O
oral	O	O
bacteria	O	O
remains	O	O
clarified	O	O
.	O	O
		
Conversion	O	O
ethanol	O	O
acetaldehyde	O	O
,	O	O
mutagenic	O	O
compound	O	O
,	O	O
members	O	O
oral	O	O
microflora	O	O
well	O	O
fungi	O	O
including	O	O
Candida	O	O
albicans	O	O
others	O	O
potential	O	O
mechanism	O	O
may	O	O
increase	O	O
oral	O	O
cancer	O	O
risk	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
distinct	O	O
Candida	O	O
spp	O	O
.	O	O
		
also	O	O
produce	O	O
NBMA	O	O
(	O	O
N-nitrosobenzylmethylamine	O	O
)	O	O
,	O	O
potent	O	O
carcinogen	O	O
.	O	O
		
Inflammatory	O	O
processes	O	O
elicited	O	O
microbes	O	O
may	O	O
also	O	O
facilitate	O	O
tumorigenesis	O	O
head	O	O
neck	O	O
region	O	O
.	O	O
