	BIEO	IOB2
The	O	O
long-term	O	O
survival	O	O
rates	O	O
surgically	O	O
treated	O	O
oropharyngeal	O	O
cancer	O	O
patients	O	O
comparable	O	O
studies	O	O
.	O	O
		
Variables	O	O
including	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
status	O	O
tumour	O	O
stage	O	O
associated	O	O
survival	O	O
patients	O	O
treated	O	O
primary	O	O
surgery	O	O
;	O	O
however	O	O
,	O	O
nodal	O	O
stage	O	O
presence	O	O
extracapsular	O	O
spread	O	O
non-prognostic	O	O
.	O	O
