	BIEO	IOB2
P16	O	O
expression	O	O
HPV	B-virus	B-virus
DNA	O	O
detected	O	O
leukoplakia	O	O
specimens	O	O
.	O	O
		
Of	O	O
427	O	O
HNSCC	O	O
tumors	O	O
,	O	O
9	O	O
showed	O	O
p16	O	O
overexpression	O	O
7/427	O	O
cases	O	O
positive	O	O
HPV16	B-virus	B-virus
DNA	O	O
,	O	O
saliva	O	O
tissue	O	O
.	O	O
		
E6/E7	O	O
mRNA	O	O
positivity	O	O
observed	O	O
8	O	O
HNSCC	O	O
samples	O	O
,	O	O
primarily	O	O
patients	O	O
habit	O	O
tobacco	O	O
consumption	O	O
.	O	O
		
The	O	O
prevalence	O	O
high-risk	O	O
HPV	B-virus	B-virus
restricted	O	O
oropharynx	O	O
larynx	O	O
,	O	O
little	O	O
concordance	O	O
p16	O	O
overexpression	O	O
HPV	B-virus	B-virus
positivity	O	O
.	O	O
		
All	O	O
patients	O	O
HPV-positive	B-virus	B-virus
saliva	O	O
samples	O	O
transcriptionally	O	O
active	O	O
HPV	B-virus	B-virus
present	O	O
tumors	O	O
.	O	O
