	BIEO	IOB2
Human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
,	O	O
usually	O	O
type	O	O
16	O	O
,	O	O
emerged	O	O
aetiological	O	O
prognostic	O	O
marker	O	O
oropharyngeal	O	O
carcinomas	O	O
,	O	O
epidermal	O	O
growth	O	O
factor	O	O
receptor	O	O
(	O	O
EGFR	O	O
)	O	O
associated	O	O
poor	O	O
prognosis	O	O
patients	O	O
carcinoma	O	O
head	O	O
neck	O	O
.	O	O
		
This	O	O
makes	O	O
identification	O	O
cancers	O	O
associated	O	O
biomarkers	O	O
important	O	O
management	O	O
patients	O	O
.	O	O
		
We	O	O
surveyed	O	O
UK	O	O
head	O	O
neck	O	O
multidisciplinary	O	O
teams	O	O
email	O	O
using	O	O
online	O	O
form	O	O
assess	O	O
use	O	O
biomarker	O	O
testing	O	O
.	O	O
		
Overall	O	O
33	O	O
cancer	O	O
networks	O	O
contacted	O	O
28	O	O
(	O	O
85	O	O
%	O	O
)	O	O
responded	O	O
.	O	O
		
HPV	B-virus	B-virus
tests	O	O
used	O	O
departments	O	O
22	O	O
(	O	O
79	O	O
%	O	O
)	O	O
respondents	O	O
,	O	O
3	O	O
(	O	O
11	O	O
%	O	O
)	O	O
used	O	O
EGFR	O	O
tests	O	O
.	O	O
		
The	O	O
commonest	O	O
reasons	O	O
using	O	O
lack	O	O
availability	O	O
lack	O	O
clinical	O	O
indication	O	O
.	O	O
