	BIEO	IOB2
The	O	O
distribution	O	O
neurotropic	O	O
alphaherpesviruses-herpes	B-virus	B-virus
simplex	I-virus	I-virus
virus	E-virus	I-virus
type	O	O
1	O	O
(	O	O
HSV-1	B-virus	B-virus
)	O	O
type	O	O
2	O	O
(	O	O
HSV-2	B-virus	B-virus
)	O	O
varicella	B-virus	B-virus
zoster	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
VZV	B-virus	B-virus
)	O	O
#NAME?	O	O
determined	O	O
autonomic	O	O
sensory	O	O
ganglia	O	O
head	O	O
neck	O	O
obtained	O	O
formalin-fixed	O	O
human	O	O
cadavers	O	O
.	O	O
		
HSV-1	B-virus	B-virus
VZV	B-virus	B-virus
DNA	O	O
found	O	O
18	O	O
58	O	O
16	O	O
58	O	O
trigeminal	O	O
,	O	O
23	O	O
58	O	O
11	O	O
58	O	O
pterygopalatine	O	O
,	O	O
25	O	O
60	O	O
14	O	O
60	O	O
ciliary	O	O
,	O	O
25	O	O
48	O	O
11	O	O
48	O	O
geniculate	O	O
,	O	O
15	O	O
50	O	O
8	O	O
50	O	O
otic	O	O
,	O	O
14	O	O
47	O	O
4	O	O
47	O	O
submandibular	O	O
,	O	O
18	O	O
58	O	O
10	O	O
58	O	O
superior	O	O
cervical	O	O
,	O	O
12	O	O
36	O	O
1	O	O
36	O	O
nodose	O	O
ganglia	O	O
,	O	O
respectively	O	O
.	O	O
		
HSV-2	B-virus	B-virus
detected	O	O
site	O	O
.	O	O
		
Viral	O	O
DNA	O	O
positivity	O	O
location	O	O
independently	O	O
distributed	O	O
among	O	O
autonomic	O	O
sensory	O	O
ganglia	O	O
human	O	O
head	O	O
neck	O	O
.	O	O
