	BIEO	IOB2
Elucidation	O	O
tumor-DNA	B-virus	B-virus
virus	E-virus	I-virus
associations	O	O
many	O	O
cancer	O	O
types	O	O
enhanced	O	O
knowledge	O	O
fundamental	O	O
oncogenesis	O	O
mechanisms	O	O
provided	O	O
basis	O	O
cancer	O	O
prevention	O	O
initiatives	O	O
.	O	O
		
RNA-Seq	O	O
novel	O	O
tool	O	O
comprehensively	O	O
assess	O	O
associations	O	O
.	O	O
		
We	O	O
interrogated	O	O
RNA-Seq	O	O
data	O	O
3,775	O	O
malignant	O	O
neoplasms	O	O
The	O	O
Cancer	O	O
Genome		O
Atlas	O	O
database	O	O
presence	O	O
viral	O	O
sequences	O	O
.	O	O
		
Viral	O	O
integration	O	O
sites	O	O
also	O	O
detected	O	O
expressed	O	O
transcripts	O	O
using	O	O
novel	O	O
approach	O	O
.	O	O
		
The	O	O
detection	O	O
capacity	O	O
RNA-Seq	O	O
compared	O	O
available	O	O
clinical	O	O
laboratory	O	O
data	O	O
.	O	O
		
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
transcripts	O	O
detected	O	O
using	O	O
RNA-Seq	O	O
analysis	O	O
head-and-neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
uterine	O	O
endometrioid	O	O
carcinoma	O	O
,	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
lung	O	O
.	O	O
		
Detection	O	O
HPV	B-virus	B-virus
RNA-Seq	O	O
correlated	O	O
detection	O	O
situ	O	O
hybridization	O	O
immunohistochemistry	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
tumors	O	O
head	O	O
neck	O	O
.	O	O
		
Hepatitis	B-virus	B-virus
B	I-virus	I-virus
virus	E-virus	I-virus
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
detected	O	O
using	O	O
RNA-Seq	O	O
hepatocellular	O	O
carcinoma	O	O
gastric	O	O
carcinoma	O	O
tumors	O	O
,	O	O
respectively	O	O
.	O	O
		
Integration	O	O
sites	O	O
viral	O	O
genes	O	O
oncogenes	O	O
detected	O	O
cancers	O	O
harboring	O	O
HPV	B-virus	B-virus
hepatitis	B-virus	B-virus
B	I-virus	I-virus
virus	E-virus	I-virus
EBV-positive	B-virus	B-virus
gastric	O	O
carcinoma	O	O
.	O	O
		
Integration	O	O
sites	O	O
expressed	O	O
viral	O	O
transcripts	O	O
frequently	O	O
involved	O	O
known	O	O
coding	O	O
areas	O	O
host	O	O
genome	O	O
.	O	O
		
No	O	O
DNA	B-virus	B-virus
virus	E-virus	I-virus
transcripts	O	O
detected	O	O
acute	O	O
myeloid	O	O
leukemia	O	O
,	O	O
cutaneous	O	O
melanoma	O	O
,	O	O
low-	O	O
high-grade	O	O
gliomas	O	O
brain	O	O
,	O	O
adenocarcinomas	O	O
breast	O	O
,	O	O
colon	O	O
rectum	O	O
,	O	O
lung	O	O
,	O	O
prostate	O	O
,	O	O
ovary	O	O
,	O	O
kidney	O	O
,	O	O
thyroid	O	O
.	O	O
		
In	O	O
conclusion	O	O
,	O	O
study	O	O
provides	O	O
large-scale	O	O
overview	O	O
landscape	O	O
DNA	B-virus	B-virus
viruses	E-virus	I-virus
human	O	O
malignant	O	O
cancers	O	O
.	O	O
		
While	O	O
validation	O	O
necessary	O	O
specific	O	O
cancer	O	O
types	O	O
,	O	O
findings	O	O
highlight	O	O
utility	O	O
RNA-Seq	O	O
detecting	O	O
tumor-associated	O	O
DNA	B-virus	B-virus
viruses	E-virus	I-virus
identifying	O	O
viral	O	O
integration	O	O
sites	O	O
may	O	O
unravel	O	O
novel	O	O
mechanisms	O	O
cancer	O	O
pathogenesis	O	O
.	O	O
