	BIEO	IOB2
Of	O	O
209	O	O
HNC	O	O
patients	O	O
,	O	O
63	O	O
(	O	O
30.1	O	O
%	O	O
)	O	O
HPV	B-virus	B-virus
infection	O	O
,	O	O
HPV-16	B-virus	B-virus
common	O	O
subtype	O	O
(	O	O
86.9	O	O
%	O	O
)	O	O
.	O	O
		
HPV	B-virus	B-virus
E6/E7	O	O
mRNA	O	O
expression	O	O
found	O	O
23	O	O
60	O	O
(	O	O
38.3	O	O
%	O	O
)	O	O
HPV	B-virus	B-virus
DNA-positive	O	O
cases	O	O
detected	O	O
.	O	O
		
The	O	O
site	O	O
highest	O	O
prevalence	O	O
HPV	B-virus	B-virus
oropharynx	O	O
(	O	O
45.9	O	O
%	O	O
)	O	O
.	O	O
		
Among	O	O
146	O	O
(	O	O
69.9	O	O
%	O	O
)	O	O
HNCs	O	O
EBV	B-virus	B-virus
DNA	O	O
identified	O	O
,	O	O
107	O	O
(	O	O
73.3	O	O
%	O	O
)	O	O
27	O	O
(	O	O
18.5	O	O
%	O	O
)	O	O
contained	O	O
types	O	O
A	O	O
B	O	O
,	O	O
respectively	O	O
,	O	O
124	O	O
(	O	O
84.9	O	O
%	O	O
)	O	O
showed	O	O
existence	O	O
del-LMP-1	O	O
.	O	O
		
However	O	O
,	O	O
13	O	O
(	O	O
6.2	O	O
%	O	O
)	O	O
HNCs	O	O
positive	O	O
EBER	O	O
,	O	O
12	O	O
(	O	O
92.3	O	O
%	O	O
)	O	O
derived	O	O
nasopharynx	O	O
.	O	O
		
Co-infection	O	O
HPV	B-virus	B-virus
EBER	O	O
found	O	O
1	O	O
%	O	O
HNCs	O	O
10	O	O
%	O	O
NPCs	O	O
.	O	O
		
Kaplan-Meier	O	O
survival	O	O
analysis	O	O
showed	O	O
significantly	O	O
better	O	O
disease-specific	O	O
overall	O	O
survival	O	O
HPV	B-virus	B-virus
DNA+/mRNA+	O	O
oropharyngeal	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
OPC	O	O
)	O	O
patients	O	O
OPC	O	O
patients	O	O
(	O	O
P	O	O
=	O	O
0.027	O	O
0.017	O	O
,	O	O
respectively	O	O
)	O	O
.	O	O
		
Multivariate	O	O
analysis	O	O
showed	O	O
stage	O	O
T1-3	O	O
(	O	O
P	O	O
=	O	O
0.002	O	O
)	O	O
HPV	B-virus	B-virus
mRNA-positive	O	O
status	O	O
(	O	O
P	O	O
=	O	O
0.061	O	O
)	O	O
independently	O	O
predicted	O	O
better	O	O
disease-specific	O	O
survival	O	O
.	O	O
		
No	O	O
significant	O	O
difference	O	O
disease-specific	O	O
survival	O	O
found	O	O
EBER-positive	O	O
#NAME?	O	O
NPC	O	O
patients	O	O
(	O	O
P	O	O
=	O	O
0.155	O	O
)	O	O
.	O	O
