	BIEO	IOB2
Over	O	O
past	O	O
30	O	O
years	O	O
,	O	O
human	B-virus	B-virus
papilloma	E-virus	I-virus
virus	I-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
shown	O	O
play	O	O
role	O	O
development	O	O
various	O	O
cancers	O	O
.	O	O
		
Most	O	O
notably	O	O
,	O	O
HPV	B-virus	B-virus
linked	O	O
malignant	O	O
progression	O	O
neoplasms	O	O
anogenital	O	O
region	O	O
.	O	O
		
However	O	O
,	O	O
high-risk	B-virus	B-virus
HPV	E-virus	I-virus
also	O	O
suggested	O	O
play	O	O
significant	O	O
role	O	O
development	O	O
cancers	O	O
anatomic	O	O
locations	O	O
,	O	O
head	O	O
neck	O	O
,	O	O
lung	O	O
,	O	O
breast	O	O
bladder	O	O
.	O	O
		
In	O	O
2006	O	O
,	O	O
first	O	O
vaccine	O	O
HPV	B-virus	B-virus
,	O	O
Gardasil	O	O
,	O	O
approved	O	O
prevention	O	O
subtypes	O	O
6	O	O
,	O	O
11	O	O
,	O	O
16	O	O
18	O	O
.	O	O
		
A	O	O
years	O	O
later	O	O
,	O	O
Cevarix	O	O
approved	O	O
prevention	O	O
subtypes	O	O
16	O	O
18	O	O
,	O	O
HPV	B-virus	B-virus
subtypes	O	O
frequently	O	O
implicated	O	O
malignant	O	O
progression	O	O
.	O	O
		
Although	O	O
increased	O	O
awareness	O	O
vaccination	O	O
could	O	O
drastically	O	O
decrease	O	O
incidence	O	O
HPV-positive	B-virus	B-virus
cancers	O	O
,	O	O
approaches	O	O
benefit	O	O
patients	O	O
already	O	O
contracted	O	O
HPV	B-virus	B-virus
developed	O	O
cancer	O	O
result	O	O
.	O	O
		
For	O	O
reason	O	O
,	O	O
researchers	O	O
need	O	O
continue	O	O
developing	O	O
treatment	O	O
modalities	O	O
,	O	O
targeted	O	O
immunotherapies	O	O
,	O	O
HPV-positive	B-virus	B-virus
lesions	O	O
.	O	O
		
Here	O	O
,	O	O
review	O	O
potential	O	O
evidence	O	O
linking	O	O
HPV	B-virus	B-virus
infection	O	O
development	O	O
non-anogenital	O	O
cancers	O	O
potential	O	O
role	O	O
immunotherapy	O	O
prevention	O	O
eradication	O	O
HPV	B-virus	B-virus
infection	O	O
oncogenic	O	O
sequela	O	O
.	O	O
