	BIEO	IOB2
Of	O	O
107	O	O
cases	O	O
study	O	O
,	O	O
40	O	O
per	O	O
cent	O	O
(	O	O
n	O	O
=	O	O
41	O	O
)	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
positive	O	O
.	O	O
		
The	O	O
positive	O	O
negative	O	O
predictive	O	O
values	O	O
p16	O	O
immunohistochemistry	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
status	O	O
57	O	O
per	O	O
cent	O	O
100	O	O
per	O	O
cent	O	O
,	O	O
respectively	O	O
.	O	O
		
At	O	O
mean	O	O
follow	O	O
59.5	O	O
months	O	O
,	O	O
5-year	O	O
overall	O	O
disease-specific	O	O
survival	O	O
estimates	O	O
78	O	O
per	O	O
cent	O	O
69	O	O
per	O	O
cent	O	O
,	O	O
respectively	O	O
.	O	O
		
Human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
status	O	O
(	O	O
p	O	O
=	O	O
0.014	O	O
)	O	O
,	O	O
smoking	O	O
status	O	O
(	O	O
p	O	O
=	O	O
0.021	O	O
)	O	O
tumour	O	O
stage	O	O
(	O	O
p	O	O
=	O	O
0.03	O	O
)	O	O
significant	O	O
prognostic	O	O
indicators	O	O
.	O	O
