	BIEO	IOB2
Thirty-nine	O	O
publications	O	O
met	O	O
inclusion	O	O
criteria	O	O
.	O	O
		
The	O	O
prevalence	O	O
HPV	B-virus	B-virus
type	O	O
3,649	O	O
patients	O	O
head	O	O
neck	O	O
cancers	O	O
40	O	O
%	O	O
(	O	O
95	O	O
%	O	O
confidence	O	O
interval	O	O
,	O	O
34.6	O	O
%	O	O
45.5	O	O
%	O	O
)	O	O
,	O	O
highest	O	O
tonsillar	O	O
cancer	O	O
(	O	O
66.4	O	O
%	O	O
)	O	O
lowest	O	O
pharyngeal	O	O
(	O	O
15.3	O	O
%	O	O
)	O	O
tongue	O	O
(	O	O
25.7	O	O
%	O	O
)	O	O
cancers	O	O
.	O	O
	O	O
There	O	O
statistically	O	O
significant	O	O
associations	O	O
HPV	B-virus	B-virus
types	O	O
analysed	O	O
geographical	O	O
setting	O	O
,	O	O
type	O	O
sample	O	O
analysed	O	O
type	O	O
primer	O	O
used	O	O
analyse	O	O
samples	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
