	BIEO	IOB2
HC-2	O	O
reliable	O	O
method	O	O
determining	O	O
HPV	B-virus	B-virus
status	O	O
HNSCCs	O	O
.	O	O
		
Its	O	O
application	O	O
HNSCCs	O	O
may	O	O
reduce	O	O
costs	O	O
helping	O	O
localize	O	O
primary	O	O
site	O	O
diagnostic	O	O
work-up	O	O
well	O	O
decrease	O	O
interval	O	O
time	O	O
determining	O	O
HPV	B-virus	B-virus
status	O	O
would	O	O
relevant	O	O
providing	O	O
prognostic	O	O
information	O	O
patient	O	O
well	O	O
determining	O	O
eligibility	O	O
clinical	O	O
trials	O	O
targeting	O	O
unique	O	O
patient	O	O
population	O	O
.	O	O
