	BIEO	IOB2
A	O	O
case	O	O
EBVMCU	B-virus	B-virus
base	O	O
tongue	O	O
reported	O	O
retrospective	O	O
review	O	O
cases	O	O
EBVMCU	B-virus	B-virus
head	O	O
neck	O	O
single	O	O
academic	O	O
institution	O	O
conducted	O	O
January	O	O
1	O	O
,	O	O
1986	O	O
April	O	O
1	O	O
,	O	O
2015	O	O
.	O	O
		
The	O	O
MEDLINE	O	O
database	O	O
additionally	O	O
queried	O	O
January	O	O
1	O	O
,	O	O
1950	O	O
April	O	O
1	O	O
,	O	O
2015	O	O
reports	O	O
EBVMCU	B-virus	B-virus
head	O	O
neck	O	O
,	O	O
pertinent	O	O
clinical	O	O
data	O	O
extracted	O	O
.	O	O
