	BIEO	IOB2
Mucosal	O	O
high-risk	O	O
(	O	O
HR	O	O
)	O	O
human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
cause	O	O
subset	O	O
head	O	O
neck	O	O
cancers	O	O
(	O	O
HNC	O	O
)	O	O
.	O	O
		
The	O	O
HPV-attributable	B-virus	B-virus
fraction	O	O
HNC	O	O
varies	O	O
substantially	O	O
countries	O	O
.	O	O
		
Although	O	O
HNC	O	O
high	O	O
incidence	O	O
Indian	O	O
subcontinent	O	O
,	O	O
information	O	O
contribution	O	O
HPV	B-virus	B-virus
infection	O	O
limited	O	O
.	O	O
		
Here	O	O
,	O	O
evaluated	O	O
HPV-attributable	B-virus	B-virus
fraction	O	O
HNC	O	O
(	O	O
N	O	O
=	O	O
364	O	O
)	O	O
collected	O	O
central	O	O
region	O	O
India	O	O
.	O	O
		
HNC	O	O
three	O	O
different	O	O
anatomical	O	O
subsites	O	O
included	O	O
,	O	O
namely	O	O
,	O	O
oral	O	O
cavity	O	O
(	O	O
n	O	O
=	O	O
252	O	O
)	O	O
,	O	O
oropharynx	O	O
(	O	O
n	O	O
=	O	O
53	O	O
)	O	O
hypopharynx/larynx	O	O
(	O	O
n	O	O
=	O	O
59	O	O
)	O	O
.	O	O
		
In	O	O
retrospective	O	O
study	O	O
,	O	O
HPV-driven	B-virus	B-virus
HNC	O	O
defined	O	O
presence	O	O
viral	O	O
DNA	O	O
RNA	O	O
.	O	O
		
Overexpression	O	O
p16	O	O
