	BIEO	IOB2
The	O	O
viral	O	O
ribonucleoprotein	O	O
(	O	O
vRNP	O	O
)	O	O
influenza	B-virus	B-virus
A	I-virus	I-virus
virus	E-virus	I-virus
formed	O	O
virion	O	O
RNA	O	O
(	O	O
vRNA	O	O
)	O	O
,	O	O
viral	O	O
polymerase	O	O
complex	O	O
,	O	O
nucleoprotein	O	O
(	O	O
NP	O	O
)	O	O
.	O	O
		
The	O	O
NP	O	O
plays	O	O
important	O	O
role	O	O
facilitating	O	O
replication	O	O
stabilization	O	O
viral	O	O
RNA	O	O
.	O	O
		
To	O	O
explore	O	O
host	O	O
factors	O	O
may	O	O
involved	O	O
regulation	O	O
viral	O	O
replication	O	O
interactions	O	O
NP	O	O
,	O	O
conducted	O	O
immunoprecipitation	O	O
experiment	O	O
followed	O	O
mass	O	O
spectrometry	O	O
identify	O	O
NP-associated	O	O
cellular	O	O
proteins	O	O
.	O	O
		
Here	O	O
,	O	O
demonstrate	O	O
NP	O	O
interact	O	O
colocalize	O	O
heterogeneous	O	O
nuclear	O	O
ribonucleoprotein	O	O
(	O	O
hnRNP	O	O
)	O	O
A2/B1	O	O
mammalian	O	O
cells	O	O
interaction	O	O
may	O	O
occur	O	O
via	O	O
direct	O	O
binding	O	O
glycine-rich	O	O
domain	O	O
(	O	O
GRD	O	O
)	O	O
hnRNP	O	O
A2/B1	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
two	O	O
residues	O	O
tail	O	O
loop	O	O
NP	O	O
,	O	O
F412	O	O
R422	O	O
,	O	O
required	O	O
interaction	O	O
hnRNP	O	O
A2/B1	O	O
.	O	O
		
Because	O	O
knockdown	O	O
hnRNP	O	O
A2/B1	O	O
expression	O	O
reduces	O	O
viral	O	O
RNP	O	O
activity	O	O
,	O	O
hnRNP	O	O
A2/B1	O	O
may	O	O
act	O	O
positive	O	O
regulator	O	O
viral	O	O
RNA	O	O
synthesis	O	O
influenza	B-virus	B-virus
A	I-virus	I-virus
virus	E-virus	I-virus
.	O	O
		
More	O	O
importantly	O	O
,	O	O
findings	O	O
research	O	O
demonstrate	O	O
host	O	O
proteins	O	O
regulate	O	O
replication	O	O
influenza	B-virus	B-virus
A	I-virus	I-virus
virus	E-virus	I-virus
interacting	O	O
NP	O	O
.	O	O
