	BIEO	IOB2
A	O	O
dramatic	O	O
increase	O	O
incidence	O	O
HPV-related	B-virus	B-virus
oropharyngeal	O	O
cancer	O	O
reported	O	O
parts	O	O
western	O	O
world	O	O
past	O	O
30	O	O
years	O	O
.	O	O
		
They	O	O
constitute	O	O
clinically	O	O
distinct	O	O
subgroup	O	O
cancers	O	O
terms	O	O
molecular	O	O
biology	O	O
,	O	O
patient	O	O
characteristics	O	O
,	O	O
treatment	O	O
outcome	O	O
.	O	O
		
This	O	O
chapter	O	O
describes	O	O
molecular	O	O
characteristics	O	O
,	O	O
epidemiology	O	O
,	O	O
demographics	O	O
HPV-related	B-virus	B-virus
head	O	O
neck	O	O
cancers	O	O
discuss	O	O
available	O	O
methods	O	O
detect	O	O
HPV-related	B-virus	B-virus
tumours	O	O
.	O	O
		
The	O	O
impact	O	O
HPV-related	B-virus	B-virus
biomarkers	O	O
clinical	O	O
studies	O	O
radiotherapy	O	O
,	O	O
altered	O	O
fractionation	O	O
,	O	O
modulation	O	O
hypoxia	O	O
,	O	O
concurrent	O	O
chemo-	O	O
bio-radiotherapy	O	O
reviewed	O	O
well	O	O
perspectives	O	O
de-escalation	O	O
immune-modulation	O	O
discussed	O	O
.	O	O
