	BIEO	IOB2
The	O	O
face	O	O
head	O	O
neck	O	O
cancer	O	O
changed	O	O
dramatically	O	O
past	O	O
30	O	O
years	O	O
.	O	O
		
There	O	O
steady	O	O
decline	O	O
number	O	O
tobacco	O	O
alcohol	O	O
related	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
past	O	O
30	O	O
years	O	O
,	O	O
increasing	O	O
incidence	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
related	O	O
cancers	O	O
.	O	O
		
Some	O	O
estimates	O	O
suggest	O	O
70-90	O	O
%	O	O
new	O	O
oropharyngeal	O	O
cancers	O	O
evidence	O	O
HPV	B-virus	B-virus
.	O	O
		
These	O	O
patients	O	O
different	O	O
demographic	O	O
patterns	O	O
,	O	O
likely	O	O
younger	O	O
,	O	O
white	O	O
adults	O	O
40s	O	O
50s	O	O
never	O	O
smokers	O	O
reduced	O	O
tobacco	O	O
exposure	O	O
.	O	O
		
Studies	O	O
shown	O	O
higher	O	O
number	O	O
lifetime	O	O
oral	O	O
sex	O	O
partners	O	O
(	O	O
>	O	O
5	O	O
)	O	O
higher	O	O
number	O	O
lifetime	O	O
vaginal	O	O
sex	O	O
partners	O	O
(	O	O
>	O	O
25	O	O
)	O	O
associated	O	O
increased	O	O
risk	O	O
HPV	B-virus	B-virus
positive	O	O
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
People	O	O
also	O	O
reduce	O	O
risk	O	O
HPV	B-virus	B-virus
linked	O	O
head	O	O
neck	O	O
cancer	O	O
receiving	O	O
HPV	B-virus	B-virus
vaccine	O	O
series	O	O
prior	O	O
becoming	O	O
sexually	O	O
active	O	O
.	O	O
		
Recent	O	O
evidence	O	O
suggests	O	O
HPV	B-virus	B-virus
related	O	O
head	O	O
neck	O	O
cancers	O	O
present	O	O
different	O	O
symptoms	O	O
caused	O	O
tobacco	O	O
.	O	O
		
The	O	O
popular	O	O
test	O	O
HPV	B-virus	B-virus
status	O	O
p16	O	O
immunohistochemical	O	O
stain	O	O
cheap	O	O
,	O	O
simple	O	O
,	O	O
studies	O	O
shown	O	O
comparable	O	O
sensitivity	O	O
specificity	O	O
previous	O	O
standards	O	O
.	O	O
		
It	O	O
widely	O	O
recommended	O	O
cancers	O	O
oropharynx	O	O
tested	O	O
presence	O	O
HPV	B-virus	B-virus
,	O	O
recommend	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
		
Overall	O	O
2-year	O	O
5-year	O	O
survival	O	O
HPV	B-virus	B-virus
positive	O	O
head	O	O
neck	O	O
cancer	O	O
significantly	O	O
greater	O	O
HPV	B-virus	B-virus
negative	O	O
cancers	O	O
,	O	O
likely	O	O
due	O	O
HPV	B-virus	B-virus
positive	O	O
cancers	O	O
responsive	O	O
treatment	O	O
.	O	O
