	BIEO	IOB2
There	O	O
dramatic	O	O
rise	O	O
incidence	O	O
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
-	O	O
associated	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
world	O	O
,	O	O
considerable	O	O
variation	O	O
geography	O	O
,	O	O
gender	O	O
ethnicity	O	O
.	O	O
		
Little	O	O
known	O	O
situation	O	O
Bangladesh	O	O
,	O	O
tobacco-	O	O
areca	O	O
nut-related	O	O
head	O	O
neck	O	O
cancers	O	O
(	O	O
HNCs	O	O
)	O	O
common	O	O
cancers	O	O
men	O	O
.	O	O
		
We	O	O
aimed	O	O
determine	O	O
prevalence	O	O
HPV	B-virus	B-virus
HNSCC	O	O
Bangladesh	O	O
explore	O	O
possible	O	O
value	O	O
cell	O	O
cycle	O	O
markers	O	O
clinical	O	O
diagnostic	O	O
settings	O	O
.	O	O
