	BIEO	IOB2
There	O	O
high	O	O
rate	O	O
HPV	B-virus	B-virus
infection	O	O
oropharynx	O	O
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
HPV	B-virus	B-virus
positive	O	O
protective	O	O
factor	O	O
prognosis	O	O
head	O	O
neck	O	O
cancer	O	O
,	O	O
risk	O	O
death	O	O
patients	O	O
HPV	B-virus	B-virus
3月5日	O	O
lower	O	O
HPV	B-virus	B-virus
negative	O	O
patients	O	O
.	O	O
		
HPV	B-virus	B-virus
viral	O	O
load	O	O
may	O	O
positively	O	O
related	O	O
total	O	O
survival	O	O
rate	O	O
.	O	O
		
N	O	O
stage	O	O
risk	O	O
factor	O	O
prognosis	O	O
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
Different	O	O
nationalities	O	O
little	O	O
influence	O	O
prognosis	O	O
.	O	O
