	BIEO	IOB2
Although	O	O
acute	O	O
Zika	B-virus	B-virus
virus	E-virus	I-virus
infection	O	O
typically	O	O
mild	O	O
self-limited	O	O
,	O	O
researchers	O	O
demonstrated	O	O
serious	O	O
neurologic	O	O
complications	O	O
associated	O	O
microcephaly	O	O
Guillain-Barre	O	O
syndrome	O	O
.	O	O
		
Otolaryngologists	O	O
aware	O	O
head	O	O
neck	O	O
manifestations	O	O
include	O	O
conjunctivitis	O	O
,	O	O
retro-orbital	O	O
pain	O	O
,	O	O
cephalgia	O	O
,	O	O
odynophagia	O	O
.	O	O
		
The	O	O
Centers	O	O
Disease	O	O
Control	O	O
Prevention	O	O
developed	O	O
specific	O	O
molecular	O	O
serologic	O	O
testing	O	O
protocols	O	O
algorithms	O	O
follow-up	O	O
care	O	O
suspected	O	O
cases	O	O
.	O	O
		
Currently	O	O
,	O	O
mainstay	O	O
management	O	O
conservative	O	O
care	O	O
researchers	O	O
attempt	O	O
develop	O	O
vaccine	O	O
.	O	O
		
Strategies	O	O
contain	O	O
Zika	B-virus	B-virus
virus	E-virus	I-virus
include	O	O
vector	O	O
control	O	O
,	O	O
travel	O	O
restriction	O	O
women	O	O
pregnant	O	O
trying	O	O
become	O	O
pregnant	O	O
,	O	O
avoidance	O	O
mosquito	O	O
bites	O	O
endemic	O	O
regions	O	O
world	O	O
.	O	O
