	BIEO	IOB2
Overall	O	O
,	O	O
review	O	O
points	O	O
smoking	O	O
tobacco	O	O
posing	O	O
additional	O	O
risk	O	O
development	O	O
head	O	O
neck	O	O
cancer	O	O
presence	O	O
HPV	B-virus	B-virus
infection	O	O
.	O	O
		
This	O	O
consistent	O	O
available	O	O
laboratory	O	O
data	O	O
show	O	O
evidence	O	O
biological	O	O
plausibility	O	O
interaction	O	O
smoking	O	O
progression	O	O
HPV	B-virus	B-virus
infection	O	O
carcinogenesis	O	O
.	O	O
		
It	O	O
therefore	O	O
important	O	O
cessation	O	O
smoking	O	O
promoted	O	O
smokers	O	O
HPV	B-virus	B-virus
infection	O	O
.	O	O
