	BIEO	IOB2
Among	O	O
patients	O	O
evaluated	O	O
,	O	O
78	O	O
%	O	O
male	O	O
.	O	O
		
The	O	O
average	O	O
age	O	O
group	O	O
58	O	O
years	O	O
.	O	O
		
Risk	O	O
factors	O	O
,	O	O
smoking	O	O
(	O	O
78	O	O
%	O	O
)	O	O
alcohol	O	O
consumption	O	O
(	O	O
70.8	O	O
%	O	O
)	O	O
recorded	O	O
group	O	O
.	O	O
		
HPV	B-virus	B-virus
DNA	O	O
detected	O	O
21	O	O
cases	O	O
(	O	O
25.6	O	O
%	O	O
;	O	O
95	O	O
%	O	O
confidence	O	O
interval	O	O
16.9-36.6	O	O
)	O	O
33.3	O	O
%	O	O
HPV16	B-virus	B-virus
14.3	O	O
%	O	O
HPV18	B-virus	B-virus
.	O	O
		
The	O	O
presence	O	O
lymph	O	O
node	O	O
metastases	O	O
registered	O	O
deaths	O	O
less	O	O
frequent	O	O
human	B-virus	B-virus
papilomavirus	E-virus	I-virus
positive	O	O
tumors	O	O
,	O	O
suggesting	O	O
better	O	O
prognosis	O	O
cases	O	O
;	O	O
however	O	O
,	O	O
differences	O	O
groups	O	O
statistically	O	O
significant	O	O
.	O	O
