	BIEO	IOB2
Infection	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
necessary	O	O
development	O	O
cervical	O	O
carcinoma	O	O
.	O	O
		
By	O	O
contrast	O	O
,	O	O
role	O	O
HPV	B-virus	B-virus
pathogenesis	O	O
malignancies	O	O
,	O	O
head	O	O
neck	O	O
cancers	O	O
,	O	O
less	O	O
well	O	O
characterised	O	O
.	O	O
		
This	O	O
study	O	O
aimed	O	O
address	O	O
key	O	O
information	O	O
gaps	O	O
conducting	O	O
systematic	O	O
review	O	O
meta-analysis	O	O
prevalence	O	O
HPV	B-virus	B-virus
infection	O	O
head	O	O
neck	O	O
cancers	O	O
,	O	O
focusing	O	O
data	O	O
European	O	O
populations	O	O
.	O	O
