	BIEO	IOB2
Evidence	O	O
exists	O	O
suggesting	O	O
HPV	B-virus	B-virus
infection	O	O
plays	O	O
role	O	O
progression	O	O
inverted	O	O
papilloma	O	O
confers	O	O
increased	O	O
risk	O	O
recurrence	O	O
malignant	O	O
transformation	O	O
.	O	O
		
PCR	O	O
preferred	O	O
detection	O	O
method	O	O
,	O	O
fresh	O	O
frozen	O	O
specimens	O	O
ideal	O	O
source	O	O
tissue	O	O
evaluation	O	O
.	O	O
		
Although	O	O
multiple	O	O
studies	O	O
detected	O	O
association	O	O
HPV	B-virus	B-virus
inverted	O	O
papilloma	O	O
(	O	O
recurrent	O	O
malignant	O	O
transformation	O	O
)	O	O
,	O	O
studies	O	O
necessary	O	O
elucidate	O	O
underlying	O	O
molecular	O	O
pathways	O	O
association	O	O
changed	O	O
causation	O	O
.	O	O
