	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
oropharyngeal	O	O
cancer	O	O
generally	O	O
associated	O	O
excellent	O	O
response	O	O
therapy	O	O
,	O	O
HPV-positive	B-virus	B-virus
tumors	O	O
progress	O	O
despite	O	O
aggressive	O	O
therapy	O	O
.	O	O
		
The	O	O
purpose	O	O
study	O	O
evaluate	O	O
viral	O	O
oncogene	O	O
expression	O	O
viral	O	O
integration	O	O
sites	O	O
HPV16-	B-virus	B-virus
HPV18-positive	B-virus	B-virus
squamous	O	O
cell	O	O
carcinoma	O	O
lines	O	O
.	O	O
