	BIEO	IOB2
Human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
oral	O	O
infection	O	O
related	O	O
several	O	O
factors	O	O
including	O	O
HIV	B-virus	B-virus
infection	O	O
,	O	O
cigarette	O	O
smoking	O	O
,	O	O
marijuana	O	O
consumption	O	O
number	O	O
sexual	O	O
partners	O	O
.	O	O
		
We	O	O
conducted	O	O
study	O	O
oral	O	O
HPV	B-virus	B-virus
prevalence	O	O
clearance	O	O
among	O	O
hosts	O	O
San	O	O
Patrignano	O	O
community	O	O
,	O	O
population	O	O
considered	O	O
``	O	O
high-risk	B-virus	B-virus
''	O	O
HPV	E-virus	I-virus
due	O	O
previous	O	O
habits	O	O
.	O	O
