	BIEO	IOB2
Negative	O	O
HPV	B-virus	B-virus
status	O	O
perineural	O	O
invasion	O	O
(	O	O
PNI	O	O
)	O	O
independent	O	O
,	O	O
additive	O	O
factors	O	O
associated	O	O
increased	O	O
PDX	O	O
formation	O	O
.	O	O
		
Epstein-Barr	B-virus	B-virus
virus-positive	E-virus	I-virus
(	O	O
EBV+	B-virus	B-virus
)	O	O
human	O	O
large	O	O
B-cell	O	O
lymphomas	O	O
grew	O	O
32	O	O
%	O	O
HPV	B-virus	B-virus
+	O	O
HNSCC	O	O
cases	O	O
failed	O	O
engraft	O	O
.	O	O
		
Successfully	O	O
established	O	O
HPV	B-virus	B-virus
+	E-virus	I-virus
PDXs	O	O
retained	O	O
basaloid	O	O
histology	O	O
often	O	O
developed	O	O
cystic	O	O
growth	O	O
patterns	O	O
typical	O	O
HPV	B-virus	B-virus
+	E-virus	I-virus
nodal	O	O
metastases	O	O
.	O	O
		
They	O	O
also	O	O
maintained	O	O
elevated	O	O
p16	O	O
